fx fy fz tx ty tz 
-1.876611 0.204250 -0.063359 -0.107225 -0.643482 -0.138781
-1.879567 0.193012 -0.014349 -0.104618 -0.642045 -0.138201
-1.885996 0.000393 0.123717 -0.073337 -0.642712 -0.138054
-1.852406 0.321367 -0.551978 -0.115287 -0.629968 -0.134036
-1.902737 0.574283 -0.857647 -0.137093 -0.639688 -0.136564
-1.913776 0.250261 -0.405938 -0.077108 -0.637311 -0.137830
-1.874038 0.584621 -0.718215 -0.113053 -0.631013 -0.138900
-1.934321 0.737670 -1.054728 -0.116866 -0.637315 -0.142202
-1.920046 0.523400 -0.819343 -0.066124 -0.637524 -0.147357
-1.925065 0.209987 -0.821256 -0.004667 -0.642836 -0.152680
-1.960942 0.456679 -1.292332 -0.015458 -0.648163 -0.155530
-1.994717 0.335990 -1.361630 0.021477 -0.662975 -0.157997
-1.996544 0.050653 -0.969457 0.084592 -0.678322 -0.161478
-1.976491 0.458435 -1.390177 0.044896 -0.683506 -0.159530
-2.036345 0.760138 -1.760461 0.019044 -0.714805 -0.161886
-2.023604 0.426497 -1.389018 0.071583 -0.725205 -0.161007
-1.961461 0.418433 -1.424545 0.084714 -0.738793 -0.162628
-1.991268 0.751376 -1.741490 0.038426 -0.758513 -0.162483
-2.001404 0.340957 -1.459995 0.091308 -0.771122 -0.162656
-1.954848 0.285515 -1.314111 0.096069 -0.776653 -0.163707
-2.014637 0.590040 -1.410581 0.044083 -0.789110 -0.165196
-2.090784 0.508796 -1.269306 0.039243 -0.794930 -0.163913
-2.068403 0.617127 -1.256973 0.005427 -0.797355 -0.164185
-2.042592 0.864460 -1.325819 -0.043836 -0.793258 -0.160577
-2.062271 0.803563 -1.118541 -0.049850 -0.788068 -0.154486
-2.020845 0.713260 -0.906410 -0.063114 -0.786704 -0.151457
-1.917948 0.867147 -1.014524 -0.120435 -0.775153 -0.146861
-1.906776 0.776203 -0.809718 -0.139757 -0.777972 -0.146165
-1.887945 0.514321 -0.403692 -0.128497 -0.770603 -0.144985
-1.886249 0.610234 -0.169647 -0.166613 -0.771805 -0.147003
-1.949118 0.828702 -0.101901 -0.224213 -0.767236 -0.143989
-2.006135 0.712731 -0.040234 -0.242966 -0.761429 -0.136233
-1.938819 0.822981 -0.033706 -0.293570 -0.727842 -0.120633
-1.897237 0.882525 -0.033342 -0.332408 -0.700560 -0.107791
-1.886210 0.708229 0.286600 -0.333656 -0.671047 -0.100677
-1.803009 0.593765 0.442647 -0.335873 -0.636722 -0.103833
-1.729882 0.460464 0.633976 -0.328441 -0.604885 -0.103583
-1.724210 0.259122 0.837748 -0.311386 -0.577885 -0.098366
-1.721434 0.423212 0.640601 -0.349813 -0.563951 -0.090976
-1.738130 0.622343 0.531863 -0.393192 -0.554692 -0.083748
-1.773339 0.628938 0.511417 -0.417883 -0.547983 -0.082717
-1.804983 0.589241 0.707298 -0.424016 -0.551514 -0.090019
-1.790325 0.543316 0.787031 -0.414637 -0.539613 -0.091146
-1.764024 0.538665 0.756397 -0.411363 -0.529959 -0.091205
-1.757915 0.139196 1.176981 -0.344322 -0.518888 -0.090079
-1.688462 -0.074975 1.277285 -0.314842 -0.498174 -0.085478
-1.679185 0.254545 0.766891 -0.368012 -0.497524 -0.085131
-1.710403 0.224163 0.957506 -0.375173 -0.492720 -0.084758
-1.703879 0.159499 1.133562 -0.381415 -0.482872 -0.082271
-1.704319 0.536812 0.855191 -0.443983 -0.480180 -0.079448
-1.740888 0.517996 0.893934 -0.441811 -0.479592 -0.077541
-1.736089 0.242496 1.134305 -0.397628 -0.478580 -0.078786
-1.700542 0.080487 1.252835 -0.370249 -0.475897 -0.082295
-1.711824 0.056081 1.042191 -0.357761 -0.482360 -0.086589
-1.714854 0.027993 1.054563 -0.350807 -0.481501 -0.088389
-1.709572 0.004527 1.124609 -0.357472 -0.478188 -0.087266
-1.746997 0.027614 1.132738 -0.370975 -0.483466 -0.085583
-1.746981 0.218141 0.929003 -0.407050 -0.479359 -0.082316
-1.744460 0.160401 0.951466 -0.401510 -0.482768 -0.082695
-1.713576 -0.040475 1.100589 -0.370784 -0.474958 -0.082128
-1.722140 -0.072499 1.085411 -0.361240 -0.479717 -0.085707
-1.733215 -0.139245 1.059435 -0.346347 -0.476935 -0.086348
-1.728235 -0.209041 1.026671 -0.336210 -0.477927 -0.087684
-1.737706 -0.265032 1.086264 -0.330294 -0.481730 -0.088488
-1.726606 -0.173119 1.024807 -0.350952 -0.479036 -0.086065
-1.732561 -0.135504 1.011740 -0.362486 -0.478916 -0.084664
-1.740423 -0.074633 1.028691 -0.373206 -0.475204 -0.081973
-1.757447 -0.011776 0.962790 -0.380169 -0.478923 -0.082967
-1.757674 -0.019807 0.930903 -0.371555 -0.477954 -0.083993
-1.742753 -0.097341 0.919046 -0.351795 -0.481135 -0.086620
-1.715022 -0.081644 0.834196 -0.343836 -0.481515 -0.088464
-1.713535 -0.123941 0.800096 -0.329151 -0.479873 -0.087265
-1.718563 -0.116517 0.767646 -0.320927 -0.479305 -0.085954
-1.755429 -0.080179 0.689666 -0.317414 -0.487604 -0.086162
-1.758718 -0.013591 0.630959 -0.320504 -0.487767 -0.084997
-1.763901 0.043526 0.584613 -0.323448 -0.489780 -0.084977
-1.773581 0.088169 0.574212 -0.324878 -0.494572 -0.085847
-1.775540 0.098210 0.554858 -0.322924 -0.495672 -0.085696
-1.754653 0.108298 0.549771 -0.322255 -0.493743 -0.085801
-1.727654 0.096199 0.577405 -0.318949 -0.492961 -0.086957
-1.703479 0.073431 0.614210 -0.315043 -0.489892 -0.087154
-1.705965 0.054077 0.633777 -0.312270 -0.492426 -0.087972
-1.714883 0.011813 0.660444 -0.305718 -0.493778 -0.087564
-1.737635 0.000082 0.673210 -0.304296 -0.496897 -0.088038
-1.763793 -0.013099 0.685007 -0.302834 -0.501724 -0.088370
-1.779102 -0.011448 0.705011 -0.303762 -0.505531 -0.088902
-1.784358 0.003895 0.711019 -0.306434 -0.507437 -0.089086
-1.778099 0.035111 0.735533 -0.311336 -0.506395 -0.089235
-1.780112 0.027400 0.713877 -0.311070 -0.507739 -0.089776
-1.771469 0.008282 0.720359 -0.309699 -0.507229 -0.089969
-1.751201 0.006044 0.780169 -0.310729 -0.503359 -0.089842
-1.744186 -0.072372 0.838308 -0.301997 -0.506755 -0.091450
-1.721803 -0.045381 0.886209 -0.309321 -0.503142 -0.091343
-1.709791 -0.045031 0.905774 -0.314152 -0.503715 -0.092020
-1.711289 -0.021606 0.897392 -0.323678 -0.502965 -0.091566
-1.727144 -0.000629 0.939227 -0.333585 -0.503785 -0.090821
-1.746794 0.059704 0.947495 -0.352849 -0.505239 -0.089782
-1.766304 0.090159 0.993705 -0.370484 -0.505889 -0.088465
