EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 0     7     0     0     0     2     4     4    -12.81  -6.927814
 4     -37   4     2     2     -1    -6    -6   -13.10  -7.317434
 0     9     0     3     2     3     6     -7   -13.46  -7.688199
 0     9     0     3     2     3     6     -7   -13.79  -8.025821
 -18   -4    -2    -3    -2    -4    -3    -8   -14.19  -8.320416
 -2    4     -11   -9    -7    -4    2     2    -14.46  -8.571502
 -2    4     -11   -9    -7    -4    2     2    -14.94  -8.778595
 13    29    -3    0     0     -1    -8    -5   -15.35  -8.936516
 -8    -2    -4    -1    -2    1     7     1    -15.95  -9.045033
 -2    11    -1    -2    0     1     -7    -12  -16.72  -9.109803
 12    -30   -4    -2    -2    -4    -2    17   -17.22  -9.136065
 -8    -2    2     0     0     -6    -26   -17  -17.68  -9.128920
 -8    -2    2     0     0     -6    -26   -17  -18.22  -9.096847
 -4    1     0     0     0     2     14    33   -18.72  -9.045864
 21    26    -3    -4    -5    -5    -3    -12  -18.97  -8.981771
 -14   -3    0     1     0     2     6     -20  -19.19  -8.915475
 3     7     -3    -3    0     2     6     -21  -19.49  -8.859388
 -37   28    1     -4    -5    -4    3     -7   -20.16  -8.821994
 5     32    7     1     0     -1    -6    -7   -20.66  -8.817375
 8     -3    -3    -1    1     0     1     -1   -21.10  -8.855731
 -60   -25   -7    -3    -4    -8    -19   -16  -21.44  -8.943353
 -60   -25   -7    -3    -4    -8    -19   -16  -21.82  -9.115147
 21    23    12    -1    -2    -2    -3    22   -21.98  -9.423689
 21    23    12    -1    -2    -2    -3    22   -22.03  -9.893617
 -6    -10   -5    -2    -2    -1    -4    1    -22.22  -10.512226
 -9    -30   -9    -2    -1    -2    -5    4    56.28  -11.248128
 -9    -30   -9    -2    -1    -2    -5    4    -30.75  -12.064838
 27    3     -1    -5    -4    -1    -1    4    -23.06  -12.932863
 -9    -1    4     0     -2    -4    -6    -13  -23.21  -13.834593
 -5    7     -9    -1    0     2     6     -10  -23.41  -14.752929
 -5    7     -9    -1    0     2     6     -10  -23.48  -15.661827
 7     5     5     2     1     1     -3    1    -23.71  -16.534378
 7     5     5     2     1     1     -3    1    -23.71  -17.349442
 0     12    9     0     -3    -3    7     5    -23.77  -18.089224
 3     -1    5     2     4     3     5     12   -23.95  -18.734848
 3     -1    5     2     4     3     5     12   -24.10  -19.268131
 48    -17   5     2     2     6     14    7    -24.24  -19.685959
 -28   -39   -12   1     0     4     4     2    -24.43  -20.015913
 -2    -47   -4    -2    -6    -7    4     11   -24.61  -20.293959
 -2    -47   -4    -2    -6    -7    4     11   -24.88  -20.527399
 -19   25    6     3     2     3     -14   2    -25.07  -20.702681
 -19   25    6     3     2     3     -14   2    -25.16  -20.814808
 15    -33   -3    0     0     2     0     7    -25.28  -20.873890
 -24   -4    -13   -10   -9    -9    -15   -10  -25.22  -20.893723
 -24   -4    -13   -10   -9    -9    -15   -10  -25.32  -20.886684
 -8    26    6     0     0     -1    -2    -2   -25.55  -20.863203
 -21   -19   1     -1    0     -1    1     -12  -25.77  -20.826010
 -14   -1    1     2     3     4     8     -16  -25.85  -20.777298
 10    -8    -3    -4    -5    -5    6     0    -25.89  -20.720942
 -31   4     -5    -2    -1    -2    -9    -1   -26.17  -20.658865
 -31   4     -5    -2    -1    -2    -9    -1   -26.24  -20.602571
 -18   -30   -5    3     5     7     15    -3   -26.46  -20.572283
 46    18    1     -1    -2    -2    -1    1    -26.66  -20.586573
 46    18    1     -1    -2    -2    -1    1    -26.64  -20.669544
 -8    -22   4     0     -1    0     -3    -4   -26.62  -20.846497
 -8    -22   4     0     -1    0     -3    -4   -26.90  -21.117699
 20    16    -2    0     -1    -1    -10   0    -26.97  -21.458099
 33    -6    4     -2    -3    -6    -26   15   -27.09  -21.848404
 33    -6    4     -2    -3    -6    -26   15   -27.23  -22.287991
 8     -14   -4    1     -1    0     9     11   -27.29  -22.780237
 -24   -4    1     -2    -2    -1    5     -6   -27.44  -23.315468
 -2    -27   -3    -1    -3    -5    -13   -32  -27.63  -23.873455
 -14   -5    2     -2    -1    -3    -6    -7   -27.84  -24.430088
