fx fy fz tx ty tz 
-1.578161 0.141919 2.506944 -0.260898 -0.436951 -0.115814
-1.601540 0.020388 2.793086 -0.245515 -0.432810 -0.117954
-1.725866 0.176841 2.660380 -0.269759 -0.422365 -0.112986
-1.413972 0.566176 2.249271 -0.337525 -0.346762 -0.098639
-1.405505 0.351324 2.208325 -0.324243 -0.334547 -0.095724
-1.385539 -0.128686 3.344481 -0.262254 -0.299829 -0.088917
-1.246827 0.141019 2.225085 -0.323526 -0.242402 -0.072572
-1.274715 0.624654 2.575705 -0.375375 -0.246892 -0.075867
-1.273901 0.039429 2.316392 -0.285392 -0.193875 -0.061517
-1.037063 0.174041 3.453013 -0.282332 -0.151795 -0.060944
-1.237974 -0.072387 2.301487 -0.259459 -0.164353 -0.056228
-1.017553 0.218952 3.214779 -0.262837 -0.110467 -0.047214
-1.091267 0.283765 2.476938 -0.302141 -0.120320 -0.042037
-1.113128 -0.205263 2.699271 -0.240234 -0.103443 -0.032086
-1.123303 0.011233 2.831597 -0.285126 -0.118599 -0.031044
-1.107257 0.186087 2.133738 -0.328527 -0.101422 -0.020881
-1.034939 0.005257 2.076548 -0.300720 -0.081869 -0.012635
-0.971516 0.105639 2.512906 -0.313539 -0.051666 -0.006869
-0.859113 0.418071 2.845189 -0.335432 -0.022699 -0.002880
-0.931366 0.495336 2.250281 -0.352929 -0.026393 -0.003532
-0.968521 0.363657 3.087042 -0.287961 -0.037677 -0.017064
-0.938882 -0.186083 3.545468 -0.211572 -0.027485 -0.022077
-0.984593 -0.302793 3.059196 -0.230691 -0.017784 -0.023756
-1.036610 0.327931 2.360285 -0.337996 -0.044452 -0.031095
-1.107743 0.570779 1.582907 -0.400467 -0.038762 -0.030757
-1.044633 0.491687 1.545260 -0.401560 -0.032804 -0.032418
-1.130572 0.260578 2.529465 -0.360244 -0.073866 -0.047345
-1.052187 -0.094025 2.537028 -0.313748 -0.041757 -0.037591
-0.792591 0.323863 2.806759 -0.356445 -0.014342 -0.032543
-0.885913 0.319532 5.160961 -0.339094 -0.033718 -0.022091
-0.935158 -0.106138 8.795537 -0.247695 -0.071827 -0.016077
-1.016908 0.468024 12.295410 -0.287408 0.016270 0.010503
-1.480004 1.455531 17.283169 -0.471107 0.072789 0.016028
-2.058201 0.540812 22.219824 -0.443051 0.118370 0.014452
-2.440623 -0.828066 28.908003 -0.392542 0.193445 0.006096
-2.903229 -1.484140 32.610647 -0.415577 0.252575 0.012517
-2.322714 -2.047938 34.052832 -0.502825 0.327100 0.009516
-2.333259 -3.028153 34.505223 -0.530107 0.330027 0.014341
-1.530737 -4.533248 35.358032 -0.392787 0.293267 -0.005450
-0.988246 -5.041696 33.078751 -0.377499 0.279116 -0.000622
-0.639188 -4.672964 30.095277 -0.478068 0.197083 -0.019420
-0.951497 -5.855576 27.646754 -0.397041 0.098432 -0.034686
-0.696563 -6.584481 25.058318 -0.417723 0.083338 -0.041236
-0.927697 -6.789024 22.586613 -0.488810 -0.041971 -0.060970
-0.962125 -7.094352 20.706360 -0.527532 -0.143230 -0.075257
-0.445966 -7.778505 20.296896 -0.476514 -0.144893 -0.079776
-0.362133 -7.994409 19.444757 -0.480586 -0.206092 -0.085194
-0.309843 -7.655992 18.939309 -0.576892 -0.266953 -0.094247
-0.191564 -7.144612 18.935664 -0.683305 -0.228157 -0.085094
0.086499 -6.945266 19.510272 -0.726308 -0.160122 -0.081351
-0.120150 -7.175817 21.246769 -0.703648 -0.114567 -0.076600
-0.203496 -6.879307 22.183247 -0.801049 -0.053464 -0.075274
-0.641210 -6.405929 22.872637 -0.972125 -0.044117 -0.077076
-1.011615 -6.616151 24.105667 -1.026237 -0.086102 -0.089276
-1.079977 -6.423599 25.444490 -1.063326 -0.118640 -0.095510
-1.186111 -6.152783 26.213293 -1.040139 -0.218083 -0.111555
-1.327311 -5.034059 26.197870 -1.114224 -0.282111 -0.115874
-1.496964 -4.276213 25.594675 -1.160026 -0.343961 -0.125577
-1.698202 -4.027215 25.309700 -1.158555 -0.365851 -0.127661
-1.703798 -4.007816 25.171327 -1.117291 -0.382172 -0.130848
-1.717728 -3.781097 24.555291 -1.076112 -0.398533 -0.125456
-1.359214 -2.779352 23.201713 -1.110827 -0.375781 -0.115261
-1.253882 -1.980945 21.952326 -1.101470 -0.408476 -0.112256
