fx fy fz tx ty tz 
-1.919420 0.497225 -2.843507 0.187195 -0.974481 -0.200720
-1.865099 0.351833 -2.739752 0.205615 -0.966016 -0.201836
-1.777286 -0.069466 -2.368788 0.260947 -0.959548 -0.203702
-1.749138 0.128980 -2.454484 0.238175 -0.955207 -0.200972
-1.835275 0.531758 -2.955951 0.186148 -0.976548 -0.201962
-1.821126 0.499281 -2.812608 0.198325 -0.973576 -0.199490
-1.744689 0.113315 -2.323858 0.257252 -0.958730 -0.197533
-1.702346 -0.011693 -2.376510 0.277906 -0.959624 -0.198515
-1.724264 0.325225 -2.811287 0.224154 -0.962733 -0.198158
-1.732069 0.308471 -2.822267 0.217373 -0.969350 -0.200687
-1.701816 0.065152 -2.516247 0.250686 -0.961961 -0.200719
-1.671635 0.029567 -2.426577 0.249824 -0.956931 -0.198763
-1.757519 0.233440 -2.666483 0.225474 -0.969655 -0.199259
-1.798351 0.350124 -2.666439 0.216417 -0.971283 -0.196731
-1.744960 0.214669 -2.515758 0.243551 -0.960133 -0.194616
-1.699021 0.097238 -2.311769 0.273279 -0.952939 -0.195387
-1.728950 0.122376 -2.583845 0.262501 -0.955697 -0.196735
-1.739533 0.347520 -2.597337 0.230349 -0.954759 -0.198004
-1.723212 0.089761 -2.598609 0.255679 -0.950349 -0.198886
-1.678832 -0.115699 -2.253408 0.280584 -0.937191 -0.197974
-1.675048 -0.303767 -2.219058 0.299089 -0.935990 -0.197994
-1.647215 -0.073787 -2.425160 0.263643 -0.928489 -0.196164
-1.660185 -0.131303 -2.372395 0.271946 -0.931520 -0.197768
-1.692053 -0.443088 -2.100843 0.320734 -0.933443 -0.199089
-1.691349 -0.579263 -2.001497 0.343893 -0.928601 -0.198414
-1.705882 -0.366595 -2.211728 0.316528 -0.930505 -0.198159
-1.713775 -0.384806 -2.212342 0.320238 -0.930000 -0.198007
-1.675794 -0.663690 -1.968735 0.353129 -0.917671 -0.194197
-1.617368 -0.595168 -1.816096 0.325272 -0.902224 -0.189749
-1.657293 -0.364690 -1.940557 0.262490 -0.905573 -0.187541
-1.653258 -0.298839 -1.823202 0.222447 -0.892245 -0.182587
-1.585938 -0.431362 -1.596789 0.219439 -0.873696 -0.180206
-1.529911 -0.618759 -1.355656 0.223127 -0.851629 -0.177138
-1.531977 -0.546739 -1.479546 0.185686 -0.842693 -0.175152
-1.528984 -0.321273 -1.479185 0.129949 -0.830372 -0.173216
-1.554457 -0.375448 -1.371499 0.110401 -0.830185 -0.175484
-1.573727 -0.569042 -0.958326 0.117987 -0.817983 -0.176091
-1.535365 -0.405720 -0.957216 0.073646 -0.797813 -0.176269
-1.539365 -0.032838 -1.234422 0.004182 -0.783256 -0.177482
-1.543859 0.083423 -1.184694 -0.030587 -0.773131 -0.178666
-1.563150 -0.249250 -0.582037 -0.002959 -0.759244 -0.177288
-1.433393 -0.148067 -0.548290 -0.042544 -0.728434 -0.172059
-1.480317 -0.124223 -0.646766 -0.075086 -0.725440 -0.171932
-1.497413 0.122683 -0.964696 -0.135489 -0.703267 -0.167897
-1.292907 0.437270 -1.129193 -0.201036 -0.652789 -0.164427
-1.367821 0.181498 -0.664919 -0.161136 -0.647985 -0.170443
-1.350329 -0.356952 -0.416658 -0.091782 -0.601688 -0.163490
-1.247642 -0.267431 -0.199916 -0.097018 -0.565434 -0.160590
