EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -13   -1    -1    -2    -1    4     1     0    -1.66  -3.216727
 10    -1    -1    -2    -3    -9    -1    4    -2.12  -4.149642
 10    -1    -1    -2    -3    -9    -1    4    -2.29  -5.030579
 2     4     0     2     2     6     0     -5   -2.64  -5.815393
 4     1     -2    -3    0     10    -4    -3   -2.77  -6.482762
 6     -3    -1    1     -1    0     -2    2    -3.38  -7.019352
 -2    -1    -3    -1    -2    -2    2     1    -3.57  -7.416197
 -12   1     0     0     -1    -3    13    6    -3.83  -7.666412
 3     -4    0     0     2     11    -7    -5   -4.06  -7.777732
 18    4     0     0     -4    -3    11    12   -4.15  -7.776449
 -52   -7    -1    -4    -3    -8    -1    -8   -4.37  -7.711555
 1     -3    -2    -1    1     -1    -2    6    -4.64  -7.623040
 4     -2    -1    -1    0     -1    -4    -4   -4.78  -7.544543
 29    0     -3    0     -3    -8    10    13   -4.81  -7.489317
 29    0     -3    0     -3    -8    10    13   -5.06  -7.488626
 7     -6    -1    2     -2    -4    -4    -1   -5.12  -7.573833
 7     -6    -1    2     -2    -4    -4    -1   -5.29  -7.759753
 25    5     0     -1    1     6     3     5    -5.38  -8.026103
 -52   -5    -1    1     -4    -5    -5    -8   -5.46  -8.333418
 -17   -1    -3    1     -1    -1    10    2    -5.48  -8.663560
 -17   -1    -3    1     -1    -1    10    2    -5.53  -9.010101
 11    2     0     -2    -2    1     3     4    -5.63  -9.368053
 -6    -1    -2    0     -1    -10   -2    -8   -5.63  -9.727598
 5     -3    -2    1     -1    -6    -14   -9   -6.13  -10.093285
 10    -1    -1    -1    -1    -4    6     1    -6.13  -10.472550
 6     -2    1     0     2     9     11    18   -6.16  -10.869309
 25    0     -1    -1    -4    -6    6     -2   -6.31  -11.290510
 21    -9    -4    -2    -5    -8    -15   -13  -6.37  -11.733728
 -6    -1    -2    -2    -1    0     4     2    -6.68  -12.215895
 12    5     1     0     1     3     -3    -1   -6.84  -12.717397
 -16   -2    -2    -2    -1    3     -5    -1   -7.18  -13.218126
 -15   1     1     0     0     4     -4    -6   -7.25  -13.682350
 -40   -5    -2    -2    -3    -3    -4    -12  -7.38  -14.098707
 27    3     1     0     -1    1     6     3    -7.46  -14.478304
 18    2     -1    -1    0     12    6     0    -7.50  -14.832898
 -5    -4    0     -1    0     -5    -7    -3   -7.84  -15.161714
 7     3     0     -1    4     10    -1    2    -8.05  -15.440348
 -7    6     0     1     -3    2     15    6    -8.22  -15.645870
 23    4     -2    -3    -4    -4    10    6    -8.15  -15.770293
 -13   -15   -3    -4    -3    -5    -20   -18  -8.23  -15.825693
 23    1     -2    -2    -1    -8    11    15   -8.46  -15.851479
 -8    -4    -3    -3    -3    -2    2     4    -8.67  -15.890783
 -8    -4    -3    -3    -3    -2    2     4    -8.92  -15.971416
 40    3     0     1     -4    -13   2     4    -9.06  -16.094288
 2     0     0     -1    -1    -5    -18   -2   -9.35  -16.239328
 10    0     -1    0     -1    4     10    9    -9.36  -16.386032
 2     0     -3    -2    0     7     0     -9   -9.36  -16.526173
 27    6     -2    -2    -1    21    23    1    -9.58  -16.654490
 -16   -4    -3    -2    -2    -1    -19   -8   -9.92  -16.776262
 -53   1     -1    -1    -3    -2    -1    0    -9.90  -16.894165
 -53   1     -1    -1    -3    -2    -1    0    -10.19  -17.004168
 -24   7     4     3     -2    -13   15    37   -10.38  -17.121220
 25    -3    -2    0     2     -1    -14   -10  -10.49  -17.291075
 -19   -7    -3    -3    -3    -4    -8    -8   -10.74  -17.558979
 -19   -7    -3    -3    -3    -4    -8    -8   -10.90  -17.962364
 45    7     -2    -5    -1    3     14    17   -11.41  -18.487066
 -26   -6    -1    0     -2    -3    -3    -10  -11.47  -19.124052
 -7    -3    -1    -3    -2    -4    -12   -19  -11.59  -19.864231
 -7    -3    -1    -3    -2    -4    -12   -19  -11.79  -20.704733
 10    -11   -2    1     1     -1    0     -6   -12.07  -21.628405
 -6    6     -1    -1    -4    -5    -10   -6   -12.56  -22.611675
 -83   0     0     2     0     -2    8     11   -12.75  -23.621805
 -83   0     0     2     0     -2    8     11   -13.12  -24.624699
 -56   -3    2     3     2     -14   6     -22  -13.41  -25.602354
 28    -2    -3    -6    0     4     -2    1    -13.76  -26.552227
 30    -4    -5    -9    -8    -4    5     40   -13.93  -27.477905
 30    -4    -5    -9    -8    -4    5     40   -14.32  -28.414989
 -6    8     3     3     -3    -2    -14   -9   -14.57  -29.394753
 -54   -1    -1    1     3     7     -4    -10  -14.86  -30.432102
