fx fy fz tx ty tz 
-0.535342 0.840669 -2.528094 0.096387 -0.396286 0.006711
-0.834453 1.614750 -3.185112 0.003198 -0.524253 -0.025520
-0.459675 1.352271 -3.579877 0.021711 -0.456429 -0.019138
-0.337917 1.254680 -3.082255 0.033383 -0.455263 -0.017874
-1.063983 1.553707 -3.144737 -0.048741 -0.575550 -0.029830
-0.998235 1.314800 -3.420141 -0.044227 -0.574631 -0.027185
-0.461740 1.169273 -3.628750 -0.043795 -0.522557 -0.028071
-0.646621 0.695291 -2.718896 0.045241 -0.532776 -0.027378
-0.780677 0.843295 -2.466356 0.044322 -0.586608 -0.047470
-0.565092 1.072624 -2.692354 0.036811 -0.604555 -0.069015
-0.682803 1.121282 -2.458304 0.060002 -0.628312 -0.078080
-0.459473 1.772392 -3.464313 -0.064656 -0.646048 -0.104423
-0.254982 1.656632 -2.568675 -0.048353 -0.569203 -0.092250
-0.684957 1.578534 -2.996221 -0.098096 -0.693596 -0.125549
-0.916655 2.203345 -2.541343 -0.221792 -0.725975 -0.133169
-0.804600 0.957930 -2.243569 -0.155151 -0.739239 -0.141477
-0.940556 1.486364 -2.125753 -0.288984 -0.770400 -0.152850
-1.056684 2.059890 -2.236686 -0.426563 -0.827502 -0.185777
-1.112427 2.024658 -1.610408 -0.446869 -0.831364 -0.200910
-1.097354 1.583456 -0.983892 -0.388151 -0.894375 -0.227724
-1.455065 2.211050 -1.626985 -0.503528 -0.952890 -0.247514
-0.886696 2.906418 -1.665382 -0.610740 -0.867571 -0.253718
-1.054184 2.224762 -1.458926 -0.569374 -0.910047 -0.276590
-0.976210 1.369623 -0.857906 -0.516016 -0.919084 -0.293564
-1.742158 1.156392 -0.983419 -0.522299 -1.056732 -0.309916
-1.867683 1.188371 -1.474455 -0.564822 -1.169379 -0.332640
-1.673942 1.215394 -0.539360 -0.544778 -1.144173 -0.320398
-1.633527 -0.208337 0.837227 -0.316246 -1.193551 -0.331766
-1.954247 0.620852 0.042670 -0.466991 -1.335436 -0.377469
-1.694041 1.185865 -0.508829 -0.525369 -1.306398 -0.373470
-2.061777 0.731252 -0.125210 -0.525294 -1.440401 -0.397350
-2.157593 0.897760 0.520847 -0.552869 -1.440908 -0.377339
-1.577075 1.154533 -0.084271 -0.662493 -1.394626 -0.374887
-2.092468 1.213316 1.232088 -0.722959 -1.553037 -0.382601
-1.663002 0.469928 3.666127 -0.663041 -1.592264 -0.385936
-1.680470 -0.560193 7.481003 -0.616049 -1.729777 -0.401346
-1.731323 -0.415823 12.047116 -0.700359 -1.837111 -0.428318
-1.763309 0.071522 17.184548 -0.695344 -1.812360 -0.413023
-1.661649 0.747115 20.229340 -0.754148 -1.864076 -0.427758
-1.242048 0.660719 24.433764 -0.707485 -1.779345 -0.397704
