EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -3    0     -1    -2    0     1     0     -1   -5.010 -1.512 -15.029 0.800 -0.004 0.438 0
 -3    0     0     -1    0     0     0     -1   -4.997 -1.517 -15.056 0.797 -0.004 0.436 0
 -3    0     0     -1    0     0     0     -1   -4.988 -1.512 -15.076 0.796 -0.004 0.436 0
 -1    0     0     0     1     -1    0     -2   -4.990 -1.503 -15.088 0.795 -0.004 0.437 0
 -1    0     0     0     1     -1    0     -2   -4.988 -1.495 -15.089 0.797 -0.004 0.436 0
 -1    0     0     0     1     -1    0     -2   -4.988 -1.494 -15.086 0.798 -0.004 0.436 0
 -1    -3    0     1     0     -1    -3    -1   -5.005 -1.482 -15.076 0.800 -0.004 0.438 0
 -1    -3    0     1     0     -1    -3    -1   -5.016 -1.467 -15.062 0.803 -0.004 0.439 0
 -1    -3    0     1     0     -1    -3    -1   -5.034 -1.449 -15.050 0.805 -0.003 0.441 0
 -1    -3    0     1     0     -1    -3    -1   -5.055 -1.439 -15.044 0.807 -0.004 0.445 0
 5     0     -1    0     -1    -2    0     -1   -5.071 -1.433 -15.048 0.807 -0.003 0.447 0
 0     0     0     -1    -1    0     0     0    -5.091 -1.429 -15.056 0.806 -0.003 0.448 0
 0     0     0     -1    -1    0     0     0    -5.109 -1.420 -15.068 0.805 -0.002 0.449 0
 -4    -1    -1    0     0     0     2     0    -5.130 -1.415 -15.075 0.805 -0.002 0.450 0
 -4    -1    -1    0     0     0     2     0    -5.151 -1.417 -15.079 0.805 -0.001 0.453 0
 -2    -2    -1    -1    -3    -2    0     -3   -5.168 -1.416 -15.079 0.805 -0.001 0.454 0
 -2    -2    -1    -1    -3    -2    0     -3   -5.178 -1.417 -15.076 0.805 -0.000 0.455 0
 -2    -2    -1    -1    -3    -2    0     -3   -5.184 -1.417 -15.070 0.806 0.001 0.454 0
 -2    -2    -1    -1    -3    -2    0     -3   -5.186 -1.414 -15.066 0.806 0.002 0.453 0
 -3    -2    0     -1    -2    1     -1    -2   -5.186 -1.417 -15.057 0.807 0.002 0.452 0
 -3    -2    0     -1    -2    1     -1    -2   -5.181 -1.418 -15.055 0.808 0.002 0.450 0
 -3    -2    0     -1    -2    1     -1    -2   -5.180 -1.412 -15.050 0.808 0.002 0.450 0
 -3    -2    0     -1    -2    1     -1    -2   -5.167 -1.396 -15.048 0.809 0.003 0.447 0
 -3    -2    0     -1    -2    1     -1    -2   -5.164 -1.383 -15.045 0.809 0.003 0.446 0
 -3    -2    -1    0     0     -3    -1    0    -5.158 -1.368 -15.041 0.810 0.003 0.444 0
 -3    -2    -1    0     0     -3    -1    0    -5.154 -1.366 -15.036 0.810 0.004 0.444 0
 -3    -2    -1    0     0     -3    -1    0    -5.153 -1.372 -15.035 0.810 0.003 0.444 0
 -2    -1    -2    2     -2    -1    -3    0    -5.150 -1.378 -15.035 0.810 0.003 0.444 0
 -2    -1    -2    2     -2    -1    -3    0    -5.145 -1.381 -15.039 0.810 0.003 0.444 0
 -2    -1    -2    2     -2    -1    -3    0    -5.138 -1.379 -15.040 0.810 0.003 0.444 0
 -1    0     -2    -2    0     -2    -1    -1   -5.126 -1.368 -15.040 0.810 0.003 0.443 0
 -1    0     -2    -2    0     -2    -1    -1   -5.115 -1.371 -15.044 0.809 0.003 0.443 0
 -1    0     -2    -2    0     -2    -1    -1   -5.105 -1.373 -15.050 0.809 0.002 0.443 0
 -3    1     -1    -1    -1    -2    0     -2   -5.090 -1.379 -15.056 0.808 0.001 0.443 0
 0     0     -1    0     0     0     -1    0    -5.071 -1.376 -15.060 0.807 -0.000 0.443 0
 0     0     -1    0     0     0     -1    0    -5.063 -1.372 -15.059 0.807 -0.000 0.442 0
 0     0     -1    0     0     0     -1    0    -5.051 -1.369 -15.052 0.808 -0.001 0.442 0
 0     0     -1    0     0     0     -1    0    -5.040 -1.373 -15.049 0.808 -0.002 0.442 0
 0     0     -1    0     0     0     -1    0    -5.029 -1.381 -15.037 0.810 -0.003 0.443 0
 -1    -1    -2    -2    -2    -1    0     -1   -5.015 -1.386 -15.027 0.811 -0.004 0.443 0
 -1    -1    -2    -2    -2    -1    0     -1   -4.995 -1.386 -15.014 0.812 -0.004 0.442 0
 -1    -1    -2    -2    -2    -1    0     -1   -4.986 -1.385 -15.000 0.814 -0.004 0.442 0
 -4    -4    1     -1    -1    -2    -3    -3   -4.967 -1.385 -14.990 0.815 -0.004 0.440 0
 -4    -4    1     -1    -1    -2    -3    -3   -4.947 -1.392 -14.992 0.814 -0.005 0.438 0
 -4    -4    1     -1    -1    -2    -3    -3   -4.940 -1.399 -14.993 0.813 -0.006 0.439 0
 1     4     0     1     -1    -2    -2    1    -4.923 -1.408 -14.998 0.812 -0.006 0.437 0
 1     4     0     1     -1    -2    -2    1    -4.916 -1.410 -15.003 0.812 -0.007 0.438 0
 1     4     0     1     -1    -2    -2    1    -4.896 -1.404 -15.007 0.811 -0.006 0.435 0
 -3    -1    -1    -2    -2    -2    -1    2    -4.902 -1.402 -15.009 0.811 -0.007 0.437 0
 -2    -2    0     0     -2    -2    -2    -1   -4.899 -1.408 -15.013 0.810 -0.008 0.437 0
 -2    -2    0     0     -2    -2    -2    -1   -4.891 -1.426 -15.016 0.808 -0.008 0.436 0
 -2    -2    0     0     -2    -2    -2    -1   -4.893 -1.442 -15.012 0.808 -0.008 0.437 0
 -2    -2    0     0     -2    -2    -2    -1   -4.893 -1.447 -15.005 0.809 -0.009 0.437 0
 -2    -2    0     0     -2    -2    -2    -1   -4.884 -1.447 -14.991 0.811 -0.008 0.435 0
 1     0     -2    -3    -1    -2    -1    -1   -4.886 -1.445 -14.981 0.812 -0.008 0.436 0
 1     0     -2    -3    -1    -2    -1    -1   -4.886 -1.450 -14.971 0.813 -0.008 0.437 0
 1     0     -2    -3    -1    -2    -1    -1   -4.884 -1.453 -14.963 0.813 -0.008 0.437 0
 0     2     -1    1     -1    0     -1    -1   -4.881 -1.456 -14.957 0.814 -0.008 0.436 0
 0     2     -1    1     -1    0     -1    -1   -4.883 -1.460 -14.950 0.814 -0.008 0.437 0
 -3    -6    -2    -1    0     1     2     -1   -4.884 -1.462 -14.946 0.815 -0.008 0.437 0
 -3    -6    -2    -1    0     1     2     -1   -4.884 -1.467 -14.944 0.815 -0.008 0.439 0
 -3    -6    -2    -1    0     1     2     -1   -4.880 -1.475 -14.947 0.814 -0.008 0.439 0
 -3    -6    -2    -1    0     1     2     -1   -4.875 -1.485 -14.951 0.814 -0.009 0.440 0
 0     2     -2    -1    0     0     -3    -1   -4.864 -1.493 -14.953 0.813 -0.009 0.440 0
 0     2     -2    -1    0     0     -3    -1   -4.860 -1.499 -14.963 0.811 -0.010 0.440 0
 0     2     -2    -1    0     0     -3    -1   -4.841 -1.499 -14.963 0.811 -0.009 0.439 0
 0     2     -2    -1    0     0     -3    -1   -4.830 -1.508 -14.964 0.811 -0.010 0.439 0
 0     2     -2    -1    0     0     -3    -1   -4.818 -1.518 -14.970 0.810 -0.011 0.439 0
 5     0     0     0     -1    -1    -1    -2   -4.799 -1.529 -14.970 0.810 -0.012 0.439 0
 5     0     0     0     -1    -1    -1    -2   -4.785 -1.535 -14.969 0.810 -0.012 0.438 0
 -1    -3    -3    -1    -1    0     1     -1   -4.769 -1.531 -14.966 0.811 -0.012 0.437 0
 -1    -3    -3    -1    -1    0     1     -1   -4.751 -1.526 -14.960 0.811 -0.013 0.436 0
 -1    -3    -3    -1    -1    0     1     -1   -4.733 -1.529 -14.953 0.812 -0.013 0.436 0
 -1    -3    -3    -1    -1    0     1     -1   -4.716 -1.537 -14.951 0.812 -0.014 0.435 0
 -2    0     -2    -2    -1    -1    -1    -1   -4.699 -1.552 -14.953 0.812 -0.014 0.435 0
 -3    -1    0     0     -1    -2    -1    0    -4.684 -1.555 -14.943 0.813 -0.015 0.435 0
 -3    -1    0     0     -1    -2    -1    0    -4.670 -1.559 -14.944 0.813 -0.015 0.435 0
 -3    -1    0     0     -1    -2    -1    0    -4.654 -1.564 -14.947 0.812 -0.015 0.435 0
 0     0     -1    -2    -1    -1    -2    -1   -4.640 -1.568 -14.957 0.811 -0.016 0.435 0
 0     0     -1    -2    -1    -1    -2    -1   -4.630 -1.576 -14.966 0.810 -0.017 0.437 0
 0     0     -1    -2    -1    -1    -2    -1   -4.615 -1.582 -14.975 0.808 -0.017 0.438 0
 0     0     -1    -2    -1    -1    -2    -1   -4.613 -1.588 -14.981 0.808 -0.018 0.441 0
 0     0     -1    -2    -1    -1    -2    -1   -4.603 -1.589 -14.984 0.807 -0.018 0.441 0
 0     0     -1    -2    -1    -1    -2    -1   -4.598 -1.592 -14.987 0.807 -0.018 0.443 0
 -2    -3    -1    1     -2    0     -1    -1   -4.587 -1.600 -14.987 0.807 -0.018 0.443 0
 -2    -3    -1    1     -2    0     -1    -1   -4.577 -1.609 -14.987 0.807 -0.019 0.444 0
 -2    -3    -1    1     -2    0     -1    -1   -4.569 -1.612 -14.985 0.808 -0.019 0.446 0
 -2    -3    -1    1     -2    0     -1    -1   -4.558 -1.609 -14.986 0.808 -0.019 0.447 0
 -2    -3    -1    1     -2    0     -1    -1   -4.544 -1.597 -14.987 0.809 -0.019 0.447 0
 -1    1     2     -2    1     1     -1    -1   -4.525 -1.585 -14.989 0.809 -0.018 0.445 0
 -4    -2    0     -1    0     0     0     -2   -4.515 -1.583 -14.994 0.809 -0.019 0.447 0
 -4    -2    0     -1    0     0     0     -2   -4.500 -1.585 -15.007 0.807 -0.020 0.447 0
 -4    -2    0     -1    0     0     0     -2   -4.483 -1.585 -15.016 0.807 -0.019 0.447 0
 -2    1     0     -1    -2    1     0     -2   -4.470 -1.588 -15.024 0.806 -0.020 0.447 0
 0     0     -3    -2    1     -2    -2    1    -4.450 -1.579 -15.032 0.805 -0.019 0.446 0
 0     0     -3    -2    1     -2    -2    1    -4.436 -1.573 -15.039 0.805 -0.019 0.445 0
 0     0     -3    -2    1     -2    -2    1    -4.413 -1.573 -15.041 0.805 -0.019 0.444 0
 0     0     -3    -2    1     -2    -2    1    -4.404 -1.578 -15.041 0.805 -0.020 0.445 0
 4     -3    -2    0     0     1     0     -1   -4.389 -1.578 -15.041 0.804 -0.019 0.445 0
 -3    1     0     1     -2    1     -2    -2   -4.380 -1.577 -15.036 0.805 -0.019 0.445 0
 -3    1     0     1     -2    1     -2    -2   -4.372 -1.569 -15.031 0.806 -0.019 0.446 0
 -3    1     0     1     -2    1     -2    -2   -4.361 -1.559 -15.023 0.807 -0.018 0.446 0
 -3    1     0     1     -2    1     -2    -2   -4.354 -1.552 -15.013 0.809 -0.019 0.447 0
 -3    1     0     1     -2    1     -2    -2   -4.347 -1.543 -15.007 0.810 -0.019 0.448 0
 1     2     1     -2    0     0     2     0    -4.339 -1.533 -14.997 0.812 -0.019 0.449 0
 1     2     1     -2    0     0     2     0    -4.324 -1.520 -14.988 0.813 -0.019 0.449 0
 1     2     1     -2    0     0     2     0    -4.317 -1.510 -14.979 0.815 -0.019 0.449 0
 1     2     1     -2    0     0     2     0    -4.311 -1.500 -14.970 0.816 -0.018 0.450 0
 1     -2    -1    -2    -2    -1    0     -1   -4.304 -1.503 -14.966 0.817 -0.018 0.451 0
 1     -2    -1    -2    -2    -1    0     -1   -4.306 -1.506 -14.965 0.817 -0.019 0.454 0
 1     -2    -1    -2    -2    -1    0     -1   -4.304 -1.513 -14.968 0.817 -0.019 0.455 0
 1     -2    -1    -2    -2    -1    0     -1   -4.299 -1.517 -14.988 0.815 -0.018 0.456 0
 1     -2    -1    -2    -2    -1    0     -1   -4.304 -1.513 -14.991 0.815 -0.019 0.458 0
 1     -2    0     -1    -2    0     -1    0    -4.296 -1.513 -15.002 0.814 -0.018 0.458 0
 -1    0     -1    0     -1    -2    -2    1    -4.288 -1.517 -15.017 0.813 -0.018 0.458 0
 -1    0     -1    0     -1    -2    -2    1    -4.280 -1.520 -15.032 0.811 -0.018 0.458 0
 -1    0     -1    0     -1    -2    -2    1    -4.275 -1.522 -15.042 0.811 -0.018 0.459 0
 -1    0     -1    0     -1    -2    -2    1    -4.263 -1.518 -15.052 0.810 -0.018 0.457 0
 -1    0     -1    0     -1    -2    -2    1    -4.253 -1.513 -15.053 0.810 -0.017 0.456 0
 0     -3    -1    -1    1     0     -3    -2   -4.246 -1.509 -15.052 0.811 -0.017 0.456 0
 0     -1    1     0     -1    -1    1     0    -4.240 -1.512 -15.052 0.811 -0.017 0.456 0
 0     -1    1     0     -1    -1    1     0    -4.236 -1.519 -15.045 0.812 -0.018 0.456 0
 0     -1    1     0     -1    -1    1     0    -4.228 -1.527 -15.047 0.812 -0.017 0.456 0
 -1    0     -1    -2    0     -2    -1    -1   -4.225 -1.527 -15.033 0.814 -0.017 0.456 0
 0     -2    -2    -2    0     1     -1    -2   -4.217 -1.529 -15.034 0.814 -0.016 0.454 0
 0     -2    -2    -2    0     1     -1    -2   -4.211 -1.532 -15.034 0.814 -0.016 0.454 0
 0     -2    -2    -2    0     1     -1    -2   -4.209 -1.537 -15.039 0.813 -0.016 0.455 0
 0     -2    -2    -2    0     1     -1    -2   -4.210 -1.543 -15.043 0.813 -0.016 0.456 0
 -8    -1    -1    -3    0     0     -1    -3   -4.211 -1.547 -15.049 0.812 -0.016 0.457 0
 0     -5    -2    -1    -1    0     0     -1   -4.208 -1.545 -15.051 0.812 -0.016 0.457 0
 0     -5    -2    -1    -1    0     0     -1   -4.216 -1.538 -15.055 0.812 -0.017 0.459 0
 0     -5    -2    -1    -1    0     0     -1   -4.216 -1.544 -15.058 0.812 -0.017 0.459 0
 0     -5    -2    -1    -1    0     0     -1   -4.220 -1.557 -15.063 0.812 -0.017 0.461 0
 0     -5    -2    -1    -1    0     0     -1   -4.219 -1.570 -15.067 0.811 -0.017 0.461 0
 -3    0     -1    -3    -1    -2    0     0    -4.216 -1.577 -15.070 0.811 -0.017 0.461 0
 -3    0     -1    -3    -1    -2    0     0    -4.218 -1.575 -15.070 0.811 -0.016 0.461 0
 -3    0     -1    -3    -1    -2    0     0    -4.217 -1.571 -15.071 0.812 -0.016 0.461 0
 -1    0     0     -1    -1    1     -1    -3   -4.218 -1.567 -15.072 0.812 -0.016 0.462 0
 -1    0     0     -1    -1    1     -1    -3   -4.212 -1.573 -15.079 0.811 -0.017 0.462 0
 1     -2    -4    0     -3    -3    -1    -1   -4.210 -1.576 -15.079 0.811 -0.017 0.462 0
 1     -2    -4    0     -3    -3    -1    -1   -4.204 -1.579 -15.077 0.811 -0.016 0.462 0
 1     -2    -4    0     -3    -3    -1    -1   -4.199 -1.572 -15.074 0.812 -0.016 0.461 0
 0     1     -1    0     -3    0     1     1    -4.189 -1.570 -15.070 0.812 -0.016 0.460 0
 0     1     -1    0     -3    0     1     1    -4.184 -1.568 -15.065 0.813 -0.016 0.460 0
 -2    -1    0     -1    0     -1    -1    -2   -4.182 -1.567 -15.063 0.813 -0.017 0.462 0
 -2    -1    0     -1    0     -1    -1    -2   -4.180 -1.569 -15.058 0.814 -0.017 0.463 0
 -2    -1    0     -1    0     -1    -1    -2   -4.174 -1.566 -15.056 0.814 -0.017 0.463 0
 -2    -1    0     -1    0     -1    -1    -2   -4.174 -1.563 -15.058 0.814 -0.017 0.464 0
 0     1     0     -3    0     -2    1     1    -4.173 -1.564 -15.058 0.814 -0.017 0.464 0
 0     1     0     -3    0     -2    1     1    -4.168 -1.567 -15.062 0.814 -0.017 0.464 0
 0     1     0     -3    0     -2    1     1    -4.171 -1.571 -15.066 0.813 -0.018 0.465 0
