fx fy fz tx ty tz 
-1.427609 0.561544 1.421340 -0.335308 -1.025623 -0.139830
-1.434473 0.534595 1.401248 -0.328248 -1.028532 -0.139715
-1.430151 0.526449 1.386440 -0.324140 -1.028220 -0.139471
-1.436256 0.496622 1.381114 -0.318019 -1.028587 -0.138976
-1.437532 0.494133 1.368560 -0.314642 -1.029361 -0.138924
-1.444431 0.482056 1.357775 -0.308481 -1.031056 -0.139047
-1.443231 0.494519 1.350937 -0.306222 -1.030848 -0.138864
-1.445066 0.476731 1.325723 -0.299126 -1.033364 -0.139339
-1.453093 0.469125 1.302454 -0.294292 -1.035747 -0.139272
-1.461380 0.467225 1.292941 -0.287956 -1.037436 -0.139227
-1.453265 0.478273 1.269543 -0.285769 -1.036275 -0.138959
-1.452971 0.461910 1.258988 -0.280722 -1.036637 -0.138763
-1.454929 0.458351 1.257036 -0.279391 -1.037507 -0.138950
-1.459909 0.458478 1.264435 -0.281073 -1.038584 -0.139504
-1.466076 0.481914 1.275885 -0.288939 -1.039636 -0.140478
-1.476720 0.489539 1.280029 -0.293378 -1.042220 -0.141473
-1.473179 0.495640 1.277105 -0.297858 -1.041179 -0.141762
-1.472109 0.507054 1.283054 -0.303017 -1.040421 -0.142037
-1.482928 0.520797 1.293666 -0.307766 -1.041559 -0.142452
-1.477477 0.533670 1.284487 -0.311599 -1.040621 -0.142144
-1.483558 0.523381 1.290842 -0.311128 -1.040188 -0.141501
-1.470007 0.523882 1.304303 -0.312190 -1.037873 -0.140575
-1.471641 0.505337 1.327250 -0.310242 -1.036897 -0.139581
-1.475454 0.474714 1.335563 -0.307063 -1.038342 -0.139608
-1.479688 0.466389 1.362445 -0.306627 -1.038411 -0.139300
-1.475191 0.433019 1.383499 -0.303401 -1.035752 -0.138529
-1.470653 0.423817 1.426007 -0.303363 -1.033430 -0.137578
-1.471580 0.441874 1.472626 -0.307557 -1.031829 -0.136998
-1.480120 0.420772 1.518474 -0.309005 -1.032716 -0.136782
-1.469601 0.410556 1.550151 -0.310944 -1.029784 -0.136167
-1.461319 0.404209 1.590580 -0.313432 -1.027550 -0.135760
-1.460837 0.444466 1.581751 -0.322250 -1.027594 -0.136913
-1.463110 0.446251 1.597073 -0.325028 -1.028048 -0.138285
-1.460527 0.392555 1.668671 -0.319845 -1.024094 -0.138871
-1.467811 0.348531 1.776123 -0.317490 -1.023948 -0.140383
-1.465365 0.377742 1.769629 -0.332307 -1.024863 -0.142987
-1.465218 0.461085 1.723086 -0.360904 -1.030736 -0.146836
-1.465303 0.526704 1.765978 -0.386877 -1.028822 -0.147253
-1.445534 0.436163 1.917733 -0.396353 -1.019657 -0.145161
-1.435484 0.419877 2.053491 -0.405860 -1.018054 -0.144890
-1.480454 0.458995 2.066981 -0.420112 -1.034654 -0.148509
