fx fy fz tx ty tz 
-0.273050 -5.713835 14.459563 -0.184446 -0.603589 -0.083531
0.035045 -5.461883 13.160895 -0.155016 -0.580776 -0.072083
0.758944 -5.126522 13.310898 -0.136397 -0.575596 -0.062195
1.302682 -4.418151 14.142477 -0.163149 -0.581873 -0.047144
1.964365 -3.118429 15.335273 -0.387991 -0.449234 -0.034781
0.310684 -3.959988 19.772816 -0.468650 -0.433130 -0.054709
-0.487758 -4.204472 23.069438 -0.702110 -0.238265 -0.055583
-1.626790 -3.728371 26.400042 -0.838635 -0.278044 -0.070947
-1.572127 -3.835789 30.024071 -0.773523 -0.274368 -0.069459
-1.545479 -3.314903 31.651244 -0.862476 -0.346507 -0.085027
-1.856496 -3.062894 32.001958 -0.947939 -0.414959 -0.097215
-1.317487 -3.864797 32.482019 -0.834287 -0.332946 -0.091672
-1.183928 -3.835492 31.774663 -0.816608 -0.352026 -0.097919
-1.340481 -2.785873 29.659993 -0.890018 -0.421432 -0.102764
-1.060631 -2.355834 27.957486 -0.809207 -0.479551 -0.114367
-1.180242 -1.989415 26.976430 -0.753921 -0.552750 -0.127967
-1.135648 -1.562466 25.659573 -0.735784 -0.589723 -0.135373
-0.982664 -1.219227 25.127963 -0.685242 -0.609719 -0.135848
-0.934967 -0.906236 24.945565 -0.669891 -0.630225 -0.135966
-1.031161 -0.894457 25.401718 -0.706522 -0.637478 -0.135130
-0.965092 -0.853698 26.138217 -0.732483 -0.627114 -0.131841
-0.772298 -0.642843 26.975563 -0.747621 -0.608757 -0.128342
-0.761163 -0.300357 27.587702 -0.759962 -0.613369 -0.130856
-0.916481 0.087263 28.277057 -0.780684 -0.620272 -0.136376
-1.141723 0.271468 28.761354 -0.804074 -0.620269 -0.141112
-1.329755 0.204601 29.422682 -0.797665 -0.625788 -0.148138
-1.403078 0.187416 29.950128 -0.781656 -0.634585 -0.149339
-1.195006 0.204074 30.111141 -0.744945 -0.639106 -0.152012
-1.218376 0.217218 30.058873 -0.716977 -0.682201 -0.162347
-1.281025 -0.036915 30.168624 -0.671809 -0.707324 -0.169198
-1.170338 -0.246502 30.219923 -0.636268 -0.700715 -0.169394
-1.171010 -0.224211 30.115249 -0.631842 -0.713098 -0.170537
-1.107768 -0.168303 30.118887 -0.634085 -0.711052 -0.168881
-1.099574 -0.199256 30.339564 -0.628861 -0.716501 -0.170541
-1.110774 -0.149119 30.544428 -0.639897 -0.724399 -0.173593
-1.031199 -0.245776 30.938108 -0.636055 -0.717962 -0.175324
-0.945286 -0.514245 31.459122 -0.621148 -0.701304 -0.176173
-1.026993 -0.747791 31.938167 -0.608126 -0.710275 -0.179386
-1.067329 -0.905440 32.337286 -0.599051 -0.712206 -0.179640
-1.077058 -1.015795 32.729516 -0.592745 -0.728085 -0.183381
-1.060952 -1.143160 33.137847 -0.589488 -0.749151 -0.188905
-1.050964 -1.191261 33.459319 -0.602835 -0.768565 -0.194360
-1.099828 -1.240396 33.751603 -0.611102 -0.792041 -0.198237
-1.057907 -1.289788 34.047982 -0.614767 -0.791756 -0.196176
