EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -1    -1    -2    -2    1     -1    -1    -1   -1.13  2.242508
 0     0     0     0     -3    -1    0     -3   -1.13  2.233020
 0     -2    -1    -1    -2    0     -1    -2   -1.12  2.209332
 0     -2    -2    1     -1    -2    1     0    -1.07  2.162259
 0     -1    1     0     -2    -2    1     -2   -0.87  2.089182
 -2    -2    -3    -1    -1    -1    0     -3   -1.03  1.989735
 -2    -2    -2    -2    1     0     -1    1    -0.97  1.866526
 1     -1    0     -1    0     -2    -1    0    -0.85  1.722894
 1     -1    0     -1    0     -2    -1    0    -0.62  1.560152
 -1    0     0     1     -1    -3    -1    1    -0.51  1.379590
 0     0     -3    -2    0     0     -2    -1   -0.64  1.184388
 -1    0     0     0     -1    0     0     -2   -0.59  0.976245
 0     -1    -1    -1    -1    0     0     0    -0.57  0.758853
 -1    -2    -2    -2    0     -4    1     -2   -0.62  0.535100
 0     0     -1    -1    0     0     0     -1   -0.71  0.308798
 0     0     -1    -1    0     0     0     -1   -0.46  0.080731
 -2    -1    0     -2    0     -2    -2    0    -0.50  -0.148894
 -2    -1    0     -2    0     -2    -2    0    -0.35  -0.378478
 -2    -4    0     0     -2    -1    -1    -1   -0.27  -0.605832
 -2    -1    -1    0     -2    -1    -2    -1   -0.36  -0.825852
 0     -2    -2    -2    -2    0     -2    -1   -0.58  -1.031572
 -1    -1    -2    -1    0     0     0     1    -0.48  -1.217491
 0     -4    -2    -1    -1    1     -2    -2   -0.29  -1.382605
 0     -1    0     0     -2    0     -1    -1   -0.28  -1.527818
 0     -1    0     0     -2    0     -1    -1   -0.37  -1.651569
 -1    1     0     -1    -1    -2    2     0    -0.41  -1.751810
 -1    1     0     -1    -1    -2    2     0    -0.72  -1.827747
 -2    0     -1    0     0     0     -2    -1   -0.74  -1.880997
 0     0     -1    -1    -3    -3    0     -2   -0.63  -1.914494
 0     1     0     -1    0     -1    -2    0    -0.57  -1.930681
 0     1     0     -1    0     -1    -2    0    -0.69  -1.932617
 -1    -2    0     -2    0     -2    -1    -1   -0.80  -1.923967
 -4    -4    -3    -1    -1    -2    1     -2   -0.93  -1.909798
 -3    8     -1    -1    -2    0     0     -3   -0.62  -1.893229
 -3    8     -1    -1    -2    0     0     -3   -0.60  -1.875394
 0     -2    -1    0     0     -2    -1    0    -0.73  -1.855575
 -2    0     -1    -2    -1    -1    -3    -3   -0.69  -1.833686
 0     -1    -1    0     0     0     1     0    -0.75  -1.810967
 6     -1    -1    -2    -2    -2    -2    -2   -0.74  -1.789310
 2     -3    0     -2    0     -1    1     -1   -0.66  -1.770719
 -3    -1    -1    -2    -4    -1    -2    -1   -0.70  -1.756999
 -5    -13   -2    -1    0     0     -1    -3   -0.76  -1.748837
 4     5     2     0     -1    0     3     3    -1.00  -1.747909
 0     0     0     1     0     0     -1    0    -1.10  -1.754744
 -11   16    -6    -2    0     -1    -3    -5   -1.17  -1.773333
 -11   16    -6    -2    0     -1    -3    -5   -1.35  -1.810231
 3     4     -3    -1    -2    -3    -1    0    -1.41  -1.876433
 -3    -4    0     -1    -1    -2    -3    -1   -1.54  -1.981030
 5     -15   -2    -2    -3    -1    -2    -1   -2.06  -2.127808
 5     -15   -2    -2    -3    -1    -2    -1   -2.30  -2.315682
 -9    -11   -2    1     0     0     0     -2   -2.99  -2.544488
 -2    -1    0     -2    -1    -3    1     -3   -3.12  -2.815430
 -9    0     0     -1    0     -2    -3    -3   -3.25  -3.130230
 2     2     -1    -1    -2    1     1     3    -3.99  -3.490006
 -10   -33   -6    -1    0     0     -2    -3   -4.36  -3.892661
 4     10    4     -1    -1    -1    -5    -3   -4.63  -4.336004
 3     -12   -6    -2    -4    -3    -4    -5   -4.86  -4.813558
 2     -15   0     1     0     -1    -6    -10  -5.58  -5.312407
 -1    20    -2    -4    -5    -3    0     2    -5.90  -5.813897
 -7    0     4     1     2     2     2     0    -6.20  -6.299516
 -7    0     4     1     2     2     2     0    -7.22  -6.761321
 8     15    4     3     4     2     5     17   -7.58  -7.198413
 21    1     -7    -4    -5    -6    -4    -2   -7.73  -7.619479
 -14   -14   4     0     0     2     2     2    -8.34  -8.044789
 6     15    0     1     -2    0     -2    3    -8.74  -8.495508
 -3    -3    -10   -5    -4    0     4     11   -9.39  -8.974935
 -22   -8    5     3     2     2     0     -10  -9.88  -9.477404
 7     12    0     -3    -3    -3    2     1    -10.22  -10.005681
 -5    -19   0     -2    -2    -2    -1    -3   -11.05  -10.562840
 6     2     4     2     0     2     10    13   -11.62  -11.138316
 -6    18    3     1     4     7     5     5    -12.53  -11.715018
 -6    18    3     1     4     7     5     5    -12.78  -12.277489
 -7    -12   3     -1    -4    -6    -11   -5   -12.92  -12.812175
 -2    -10   -3    -2    0     1     7     -2   -13.36  -13.305405
 14    -19   4     3     1     -3    -11   15   -13.51  -13.749981
 -4    4     -5    -4    -2    2     14    -4   -13.78  -14.147991
 -4    4     -5    -4    -2    2     14    -4   -14.30  -14.503776
 13    18    -3    -2    -3    -1    -1    -18  -14.62  -14.814794
 1     53    9     1     1     1     0     -5   -14.83  -15.079744
 11    -34   -7    -7    -7    -6    -4    5    -15.54  -15.297107
 4     6     -2    -1    1     -1    1     6    -15.86  -15.460096
 -35   6     -3    0     3     3     4     -15  -16.21  -15.577044
 -35   6     -3    0     3     3     4     -15  -16.39  -15.690001
 -8    -8    4     1     -1    1     2     2    -16.93  -15.872155
 13    -15   -1    -1    -4    -2    0     14   -17.02  -16.163115
 -10   -13   -4    2     4     1     1     -24  -17.29  -16.557892
 16    26    1     -3    -2    -5    -14   2    -17.55  -17.037895
 -20   -1    -4    1     2     4     12    -3   -17.58  -17.588333
 4     11    -4    -4    -5    -6    -7    -7   -18.05  -18.197264
 -12   -46   4     1     3     3     -5    1    -18.15  -18.840460
 -2    5     -3    -1    -2    3     -1    -9   -18.12  -19.485485
 12    16    2     -2    -3    -2    5     15   -18.30  -20.102943
 -7    -42   -6    1     0     -1    4     8    -18.53  -20.676950
 -7    -42   -6    1     0     -1    4     8    -18.38  -21.200409
 -21   25    1     0     0     0     -1    -10  -18.64  -21.672384
 -3    -15   -2    -6    -4    -4    -5    2    -19.09  -22.097889
 44    15    4     1     1     -1    5     20   -19.00  -22.485182
 -18   -4    1     3     5     4     4     -14  -18.88  -22.852636
 13    26    -2    -2    -2    -2    0     3    -19.48  -23.215290
 -12   2     -6    -3    -2    -3    -9    -14  -19.55  -23.569822
 14    8     -8    -8    -8    -5    4     -15  -19.28  -23.905741
 3     1     1     2     4     3     2     -7   -19.48  -24.218842
 -1    9     -5    -1    0     0     3     -3   -19.99  -24.506674
 -20   -3    -13   -7    -7    -7    -5    -4   -19.95  -24.769518
 -20   -3    -13   -7    -7    -7    -5    -4   -20.04  -25.015718
 2     -6    2     2     0     -2    -10   17   -20.26  -25.259272
 -21   7     -1    1     4     3     -6    -6   -20.18  -25.507130
 -44   -5    5     1     0     3     4     -13  -20.27  -25.760725
 -3    -25   -3    -1    0     0     6     3    -20.35  -26.024246
 1     -19   -4    2     5     3     1     -12  -20.55  -26.295416
 30    10    3     -7    -11   -11   -21   10   -20.78  -26.562586
 -10   -18   1     4     4     5     7     14   -20.92  -26.824255
 -2    4     -5    -1    0     0     2     -2   -21.10  -27.082802
 25    34    6     5     4     7     20    12   -21.23  -27.332348
 22    43    9     -1    -3    -8    -19   -12  -21.40  -27.567747
 -24   -38   -8    0     1     3     16    15   -21.35  -27.793900
 11    17    -1    -6    -9    -7    -10   -8   -21.24  -28.018805
 11    -12   0     3     3     2     0     10   -21.35  -28.243670
 -41   -13   -11   -6    -4    -5    -16   -9   -21.54  -28.468382
 8     4     -4    -2    0     3     8     -4   -21.71  -28.701324
 8     4     -4    -2    0     3     8     -4   -21.71  -28.946100
 14    15    -8    -3    -2    1     4     6    -21.62  -29.192387
 10    23    -3    -3    -2    -4    -21   -12  -21.63  -29.427605
 -36   -21   -4    -1    1     2     10    -16  -21.69  -29.648636
 -18   -62   -3    -1    -5    -6    -2    5    -21.75  -29.865585
 -19   -12   -2    -2    0     5     11    -11  -21.61  -30.092106
 32    11    -4    -2    -4    -4    -2    7    -21.59  -30.336397
 3     -8    1     2     1     3     3     10   -21.74  -30.602726
 42    65    10    0     -2    1     6     21   -21.73  -30.890739
 -9    -16   -5    -1    3     3     5     2    -21.75  -31.201439
 3     -1    -2    -4    -3    -3    -4    -9   -21.49  -31.529863
 3     -1    -2    -4    -3    -3    -4    -9   -21.40  -31.852501
 3     -39   -2    -1    0     0     2     -2   -21.32  -32.137352
 -4    13    6     2     0     -2    -8    1    -21.43  -32.356697
 4     15    0     -2    -2    0     3     -4   -21.01  -32.489017
 6     -4    0     -2    1     3     3     5    -20.77  -32.519035
 -15   1     -7    -3    0     1     -4    -5   -20.56  -32.440250
 12    6     5     2     2     1     0     3    -19.85  -32.257301
 -8    -13   -9    -3    -3    -5    -4    -3   -19.34  -31.980659
 -2    3     4     2     1     -1    0     -3   -17.73  -31.618568
 -18   -13   -5    -3    -2    -3    -3    -4   -16.86  -31.178270
 -2    0     2     0     -1    1     0     1    -15.69  -30.671392
 -2    0     2     0     -1    1     0     1    -13.14  -30.107641
 -2    -1    0     1     0     1     1     1    -12.20  -29.491037
 0     -2    0     -2    -1    -1    -1    0    -10.10  -28.823309
 0     -6    -4    -1    -2    -2    -1    -1   -9.14  -28.109289
 -4    -5    -2    -1    0     -1    -2    -1   -7.34  -27.357071
 -4    -5    -2    -1    0     -1    -2    -1   -6.63  -26.577860
 -1    -2    -1    -1    0     -1    -3    -1   -5.83  -25.781975
 -1    -1    -2    -2    -2    0     -1    -1   -4.56  -24.975517
 -2    1     0     -1    0     0     0     0    -4.03  -24.162609
 0     -2    0     -1    -1    0     -2    -2   -3.36  -23.344452
 -1    0     -3    -1    -1    0     1     -1   -3.01  -22.519640
 -1    -2    -1    -2    -1    0     0     0    -2.66  -21.681530
 -1    -3    -1    -2    0     -1    -2    0    -2.36  -20.822100
 -3    0     0     1     -1    -2    -1    -2   -1.92  -19.931200
 0     -2    -2    -2    0     -1    0     -2   -1.56  -18.998011
 -2    -1    -2    1     -1    0     -1    -1   -1.33  -18.011545
 -1    0     -1    -2    -3    0     -2    0    -0.82  -16.963869
 -3    -1    -2    0     -1    -1    -1    -1   -0.78  -15.852055
 -3    -1    -2    1     0     0     0     -1   -0.57  -14.678364
 0     -2    0     0     -3    -1    -2    0    -0.51  -13.452022
 -2    0     0     -1    -3    -2    -1    -1   -0.56  -12.187519
 1     -1    -1    -1    -1    0     -2    -2   -0.13  -10.905016
 -2    -2    -1    -2    -2    -1    0     1    -0.17  -9.628942
 -2    -2    -1    -2    -2    -1    0     1    -0.07  -8.386997
 0     -1    -2    -1    -2    0     -1    -1   0.06  -7.207526
 0     1     -2    0     0     -1    1     2    0.05  -6.114959
 -2    -2    -2    0     -2    -1    0     1    0.11  -5.130139
 -1    -2    0     -2    -1    -2    0     -1   -0.06  -4.270960
 -1    -2    0     -2    -1    -2    0     -1   -0.11  -3.550302
 -2    2     -1    -1    0     2     -2    -2   0.04  -2.972011
 -3    0     -1    -1    0     -1    1     0    0.05  -2.534151
 -1    -2    0     0     -1    -4    -1    0    0.16  -2.227548
 1     1     -2    -1    -2    -1    -1    -3   0.02  -2.034480
 -1    -1    -2    -1    -2    0     -1    0    0.03  -1.930825
 -1    -1    -2    -1    -2    0     -1    0    -0.02  -1.890732
 0     -1    -1    -1    -2    -2    -1    1    0.16  -1.890637
 -2    -1    0     0     0     -1    -1    -3   0.12  -1.911198
 -2    -2    -2    -2    -1    -2    -1    -1   0.00  -1.937343
 2     0     0     -2    -1    -1    -1    1    0.15  -1.957492
 -2    -2    0     -2    -1    -1    -2    0    0.07  -1.963864
 -1    0     -1    -1    -1    0     -1    -2   0.03  -1.952635
 -15   -12   -5    -2    -1    -2    -2    -1   0.08  -1.920007
 -1    7     0     0     -1    -1    -1    -1   -0.11  -1.858874
 -2    -8    -2    -1    -1    0     -2    -4   -0.04  -1.766050
 4     1     0     -1    -1    0     -1    -1   -0.13  -1.649763
 4     1     0     -1    -1    0     -1    -1   -0.28  -1.521900
 -1    -3    -3    -1    -2    0     0     -2   -0.08  -1.395722
 -1    -15   0     1     0     1     -2    -3   -0.15  -1.285250
 20    34    6     -1    -1    0     -1    5    -0.29  -1.202183
 -8    -6    -3    -2    -1    1     3     0    -0.49  -1.156453
 3     0     -1    -2    0     1     -2    0    -0.68  -1.165848
 1     0     0     -2    -2    -2    3     0    -0.80  -1.251555
 7     13    4     -2    -1    0     1     4    -1.08  -1.427567
 -7    0     -3    -3    -2    -2    -3    -5   -1.41  -1.699134
 -7    0     -3    -3    -2    -2    -3    -5   -1.61  -2.065488
 -2    6     -1    -2    -3    -2    -3    -6   -1.83  -2.521191
 -5    0     -1    -4    0     0     0     3    -2.34  -3.052134
 10    -7    0     0     -1    -2    -4    0    -2.53  -3.642191
 8     -5    2     2     2     0     7     -1   -3.28  -4.279444
 -22   8     -3    -2    -2    0     -5    -4   -3.66  -4.962953
 -22   8     -3    -2    -2    0     -5    -4   -3.92  -5.704446
 9     55    2     -1    -1    0     2     12   -4.67  -6.523917
 -11   -22   -4    -2    -3    -4    -7    -12  -5.06  -7.426024
 1     6     1     0     -1    0     0     3    -6.35  -8.390626
 -2    -102  1     3     5     2     -6    -2   -6.69  -9.380091
 -2    -102  1     3     5     2     -6    -2   -7.06  -10.348818
 -6    15    -9    -4    -1    -6    -8    -9   -8.08  -11.262059
 -4    1     -1    -2    -2    -1    -5    -9   -8.62  -12.102489
 7     2     -1    -3    -4    -2    -1    2    -9.67  -12.865430
 -3    -19   -5    1     4     4     4     8    -10.33  -13.550850
 14    30    5     1     3     2     11    -7   -11.65  -14.159992
 14    30    5     1     3     2     11    -7   -12.32  -14.701310
 -15   -1    0     -1    -1    -1    -6    -18  -12.75  -15.190962
 -12   31    -3    -6    -7    -7    -15   -13  -13.68  -15.645611
 4     32    7     -1    -3    0     10    10   -13.94  -16.073004
 11    -49   -5    -1    -1    -1    8     15   -14.66  -16.470612
 -6    -15   -3    1     0     -2    -3    -6   -15.21  -16.832174
 21    22    -1    -3    -3    -3    -1    11   -15.93  -17.160133
 21    22    -1    -3    -3    -3    -1    11   -16.32  -17.470585
 13    47    -5    0     -2    0     -5    1    -16.57  -17.787991
 -16   -34   -9    -2    0     0     -4    -16  -16.84  -18.129601
 18    6     3     1     0     1     13    9    -17.19  -18.505943
 -9    15    -1    -2    0     -4    -17   0    -17.64  -18.924736
 -9    15    -1    -2    0     -4    -17   0    -17.92  -19.382948
 40    -8    -6    -2    0     -2    5     -10  -18.17  -19.874748
 -39   -23   -7    1     4     3     2     -31  -18.42  -20.412786
 13    32    4     -2    -5    -7    -16   -3   -19.03  -21.009876
 18    -8    8     -2    -3    -1    -6    8    -19.32  -21.645304
 -29   2     -4    -1    0     -1    2     -19  -19.62  -22.280251
 -9    -47   -4    -1    -1    0     12    7    -19.96  -22.885542
 -9    -47   -4    -1    -1    0     12    7    -20.20  -23.437193
 11    -8    -1    -2    0     0     1     8    -20.24  -23.914965
 4     -10   1     -1    0     1     4     7    -20.33  -24.310108
 -3    -3    -3    -2    -2    0     5     5    -20.09  -24.622000
 16    41    5     -2    -4    -2    5     21   -19.72  -24.855536
 -6    -2    -2    -3    -2    -1    0     -10  -18.94  -25.020924
 -4    -21   -5    1     1     2     6     -4   -18.67  -25.129480
 4     -9    -2    -4    -1    -1    -1    9    -18.23  -25.185633
 -6    -7    -2    2     1     -1    -1    -5   -17.10  -25.188772
 5     3     -2    -1    -3    -3    -6    4    -16.73  -25.135616
 -4    -6    -4    1     0     2     -3    -9   -15.88  -25.025141
 -4    -6    -4    1     0     2     -3    -9   -15.28  -24.852001
 -1    -16   -7    -1    1     0     -4    -4   -14.61  -24.610970
 -10   -15   -2    0     -1    0     5     -5   -13.72  -24.298014
 -3    -2    -3    -2    -2    -2    -1    -2   -13.26  -23.915947
 4     -1    2     -2    1     -1    1     3    -12.00  -23.475252
 2     -5    -1    -1    -2    1     2     -4   -11.42  -22.988791
 -4    -28   0     1     0     1     1     0    -10.28  -22.472231
 -4    -28   0     1     0     1     1     0    -9.39  -21.937359
 4     0     0     -2    0     0     3     2    -8.63  -21.393511
 -7    -2    -4    -2    -1    -2    -3    -5   -7.36  -20.848492
 0     2     1     0     -1    -2    -3    -1   -6.88  -20.309776
 0     3     0     -1    -2    -2    -1    1    -6.18  -19.781504
