fx fy fz tx ty tz 
-1.708780 0.013209 1.249067 -0.103923 -0.520680 -0.121314
-1.702314 0.016740 1.251269 -0.103093 -0.518602 -0.120838
-1.689629 -0.000641 1.246311 -0.100231 -0.515585 -0.119883
-1.685302 0.016835 1.265667 -0.102322 -0.513993 -0.119819
-1.683870 0.013905 1.263947 -0.102329 -0.514178 -0.119854
-1.687643 0.036284 1.261549 -0.105859 -0.514615 -0.119825
-1.700576 0.045977 1.260018 -0.108180 -0.518121 -0.120194
-1.702489 0.054442 1.264981 -0.110682 -0.518638 -0.120168
-1.706445 0.065699 1.264294 -0.113622 -0.520797 -0.120571
-1.714484 0.070779 1.258637 -0.115564 -0.523273 -0.120951
-1.713580 0.062503 1.260627 -0.115441 -0.524111 -0.120802
-1.707375 0.041441 1.255244 -0.113315 -0.523686 -0.120320
-1.703080 0.024112 1.257251 -0.111244 -0.522152 -0.119870
-1.704904 -0.009985 1.265255 -0.106445 -0.523452 -0.120106
-1.700895 0.003273 1.247558 -0.108531 -0.521614 -0.119730
-1.698045 -0.009884 1.253886 -0.106558 -0.521007 -0.119648
-1.697301 0.033093 1.218318 -0.112626 -0.518947 -0.118784
-1.698707 0.088581 1.165341 -0.120196 -0.518627 -0.118267
-1.702424 0.111077 1.160943 -0.122560 -0.519347 -0.118436
-1.695417 0.147809 1.140485 -0.126828 -0.517286 -0.117554
-1.703081 0.125395 1.138069 -0.122680 -0.519460 -0.117799
-1.694600 0.152473 1.100664 -0.125588 -0.517688 -0.117078
-1.697423 0.125710 1.105517 -0.120417 -0.518616 -0.117104
-1.698695 0.125228 1.096452 -0.118701 -0.518407 -0.117006
-1.693994 0.094742 1.101131 -0.112474 -0.518841 -0.117143
-1.692338 0.134377 1.074079 -0.116224 -0.517611 -0.116774
-1.688863 0.125425 1.067913 -0.113187 -0.517370 -0.116539
-1.695076 0.130883 1.063717 -0.111656 -0.518747 -0.117071
-1.693212 0.155655 1.048076 -0.114106 -0.517764 -0.116467
-1.697499 0.167254 1.025309 -0.114738 -0.519094 -0.116918
-1.701704 0.187360 1.006984 -0.116500 -0.520302 -0.117331
-1.697022 0.163022 1.021470 -0.112331 -0.519220 -0.116711
-1.690996 0.153897 1.029907 -0.110393 -0.518127 -0.116453
-1.692564 0.135498 1.019877 -0.107753 -0.518808 -0.116492
-1.696856 0.129872 1.034979 -0.106528 -0.519494 -0.116414
-1.688036 0.099668 1.044601 -0.102241 -0.518277 -0.115940
-1.687531 0.106409 1.039110 -0.102728 -0.519218 -0.116054
-1.689394 0.108476 1.035334 -0.102575 -0.519349 -0.115844
-1.695243 0.119964 1.019597 -0.103687 -0.520010 -0.115601
-1.697953 0.150133 1.000249 -0.107157 -0.520212 -0.115495
-1.699008 0.136691 1.001430 -0.104517 -0.522136 -0.116579
-1.699223 0.173104 0.977425 -0.108887 -0.521881 -0.116925
-1.701749 0.156278 0.967161 -0.106355 -0.523221 -0.117671
-1.707151 0.179677 0.942250 -0.108263 -0.523409 -0.118549
-1.703920 0.151512 0.940464 -0.102318 -0.524767 -0.119790
-1.716813 0.157463 0.934439 -0.099214 -0.527632 -0.121457
-1.716166 0.163488 0.889556 -0.097370 -0.526787 -0.121791
-1.714397 0.156282 0.894090 -0.092121 -0.527373 -0.123195
-1.716510 0.149339 0.865828 -0.087547 -0.528254 -0.124103
-1.717832 0.153985 0.835637 -0.083035 -0.528917 -0.125378
-1.725524 0.177677 0.799218 -0.084488 -0.530224 -0.126141
-1.730970 0.156866 0.789630 -0.078543 -0.532922 -0.127893
-1.727115 0.166300 0.773877 -0.076594 -0.533171 -0.129205
-1.731744 0.137790 0.791097 -0.067931 -0.535270 -0.130949
-1.732318 0.140711 0.768877 -0.064947 -0.534460 -0.131737
-1.729996 0.121770 0.743797 -0.057802 -0.534269 -0.132623
-1.726596 0.115764 0.735132 -0.053362 -0.532757 -0.132748
-1.726097 0.111606 0.699991 -0.051514 -0.532510 -0.132781
-1.726829 0.083232 0.707327 -0.045672 -0.532482 -0.133378
-1.729916 0.103989 0.713265 -0.048302 -0.533276 -0.134449
-1.730973 0.083685 0.709031 -0.047499 -0.534580 -0.135249
-1.737728 0.095010 0.717380 -0.051053 -0.535935 -0.135947
-1.735272 0.084422 0.730433 -0.051716 -0.535554 -0.136354
-1.739086 0.072573 0.729620 -0.051528 -0.537141 -0.136772
-1.736743 0.072867 0.747557 -0.051760 -0.536211 -0.136723
-1.735445 0.074301 0.736679 -0.052466 -0.535070 -0.136675
-1.730868 0.083672 0.731600 -0.053277 -0.533656 -0.136538
-1.733782 0.086969 0.724667 -0.052542 -0.535531 -0.137292
-1.739393 0.095921 0.738465 -0.052981 -0.536356 -0.137565
-1.738932 0.094489 0.765461 -0.052501 -0.537176 -0.137970
-1.729490 0.110035 0.793500 -0.054592 -0.535323 -0.137405
-1.740704 0.037512 0.807036 -0.045392 -0.538654 -0.137620
-1.749217 -0.017016 0.925693 -0.037897 -0.543167 -0.139064
-1.748162 0.041567 0.870514 -0.048393 -0.543570 -0.138904
-1.755711 0.003936 0.976734 -0.044676 -0.549996 -0.140723
-1.754571 -0.081940 1.093363 -0.035939 -0.550992 -0.140769
-1.736473 -0.079907 1.126176 -0.039258 -0.547667 -0.138983
-1.728985 -0.020915 1.104727 -0.050804 -0.545934 -0.136516
-1.742151 -0.050847 1.158253 -0.050292 -0.547980 -0.134293
-1.746224 -0.121720 1.195171 -0.052015 -0.547920 -0.131461
-1.736456 -0.151235 1.245620 -0.064156 -0.544405 -0.127747
-1.722490 -0.080675 1.303266 -0.093234 -0.540687 -0.124466
-1.725624 -0.030565 1.400314 -0.122551 -0.540494 -0.122596
-1.714898 -0.041305 1.584203 -0.141833 -0.538700 -0.121660
-1.698109 -0.059353 1.659802 -0.147098 -0.533319 -0.119846
-1.704473 0.035804 1.727276 -0.166827 -0.530507 -0.118572
-1.715390 0.037008 1.678959 -0.170165 -0.529811 -0.115880
-1.721618 -0.006285 1.751118 -0.170586 -0.526421 -0.112845
-1.688760 0.049016 1.732866 -0.189337 -0.519131 -0.109215
-1.679373 0.072041 1.732078 -0.204180 -0.515931 -0.108377
-1.696672 0.081855 1.742942 -0.216658 -0.510408 -0.108354
-1.696950 -0.003786 1.850875 -0.211047 -0.507108 -0.109401
-1.670324 0.036140 1.826245 -0.215743 -0.494575 -0.109309
-1.659633 0.058443 1.892981 -0.216365 -0.488358 -0.110344
-1.682525 0.023273 1.883784 -0.207088 -0.489708 -0.111724
-1.669706 -0.024002 1.871358 -0.189418 -0.482708 -0.110060
-1.653135 0.021070 1.834342 -0.184562 -0.478405 -0.109194
-1.679064 0.048593 1.769868 -0.180877 -0.482594 -0.109951
-1.705197 0.035764 1.759149 -0.174812 -0.488259 -0.111039
-1.686663 0.055215 1.754952 -0.179211 -0.485577 -0.110417
-1.673271 0.037379 1.764273 -0.185303 -0.486931 -0.110530
-1.690472 0.048501 1.751905 -0.193171 -0.492161 -0.111406
-1.690911 0.033991 1.741204 -0.195481 -0.495992 -0.111921
-1.684354 0.029654 1.733248 -0.197132 -0.496746 -0.112210
-1.682388 0.002930 1.737700 -0.195114 -0.498408 -0.112199
-1.697778 0.011705 1.704501 -0.196700 -0.501835 -0.112560
-1.705035 0.089480 1.655084 -0.206934 -0.503533 -0.112315
-1.694335 0.118845 1.636285 -0.210851 -0.502396 -0.111854
-1.694480 0.121821 1.636620 -0.211192 -0.502393 -0.111563
-1.692828 0.121190 1.648179 -0.210078 -0.502786 -0.111679
-1.701562 0.122854 1.624289 -0.209963 -0.503449 -0.111521
-1.698732 0.118914 1.607215 -0.209418 -0.502699 -0.111428
-1.686910 0.124269 1.621498 -0.210198 -0.500224 -0.110970
-1.690606 0.085215 1.668680 -0.204884 -0.503042 -0.111933
-1.680807 0.016341 1.714508 -0.195877 -0.502283 -0.112186
-1.682375 -0.051770 1.758743 -0.187330 -0.503129 -0.112447
-1.742075 -0.048376 1.792772 -0.189227 -0.514548 -0.114799
-1.617563 -0.087885 1.835005 -0.188077 -0.477863 -0.105731
-1.588715 -0.088488 1.885931 -0.192005 -0.464482 -0.102669
-1.564737 -0.086006 1.957049 -0.198793 -0.455471 -0.100782
-1.541202 -0.122728 1.890070 -0.205010 -0.447020 -0.098350
-1.507847 -0.042320 1.969215 -0.215889 -0.430665 -0.094879
-1.501024 -0.058605 2.037105 -0.218767 -0.426070 -0.093967
-1.497469 -0.120394 2.090552 -0.219453 -0.417310 -0.092420
-1.455774 -0.178567 2.239422 -0.212922 -0.397354 -0.089246
-1.417792 -0.131730 2.194807 -0.222325 -0.377920 -0.086108
-1.454477 -0.188838 2.347230 -0.215609 -0.372330 -0.085236
-1.405424 0.159237 1.888064 -0.267991 -0.349309 -0.079292
-1.497243 0.014277 1.990763 -0.242815 -0.351842 -0.077501
-1.353936 -0.485762 2.861624 -0.160788 -0.304953 -0.069256
-1.190179 -0.138307 2.114291 -0.213378 -0.249452 -0.054159
-1.258556 0.741220 1.615564 -0.327381 -0.262294 -0.054607
-1.275589 -0.049805 2.263919 -0.215389 -0.245868 -0.049093
-1.068066 -0.191108 2.656475 -0.194499 -0.188515 -0.036553
