EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -3    -26   0     -1    -1    1     -1    -1   -1.97  1.557372
 -2    1     -1    0     1     1     1     -1   -1.89  1.413564
 -2    1     -1    0     1     1     1     -1   -2.04  1.259698
 1     4     -1    1     -1    -2    2     0    -2.11  1.102028
 -1    5     0     0     -1    -1    -1    -1   -2.12  0.948016
 -3    -9    -1    -1    -1    -1    -1    -1   -2.25  0.804918
 -10   -27   -4    -3    -2    -3    -1    -2   -2.35  0.675294
 3     19    -1    -2    -1    -1    0     -1   -2.21  0.554855
 3     19    -1    -2    -1    -1    0     -1   -2.17  0.437839
 2     0     0     -1    1     0     0     0    -2.37  0.322818
 -3    -2    -3    -2    -2    0     -2    -1   -2.52  0.210901
 -3    -2    -3    -2    -2    0     -2    -1   -2.60  0.103405
 5     15    -3    -2    -1    -3    -3    -1   -2.52  0.000354
 -5    -7    -4    -1    2     1     -2    -5   -2.57  -0.100790
 17    6     1     -3    -8    -4    1     7    -2.62  -0.205815
 -9    -1    2     1     4     1     0     -2   -2.76  -0.325128
 -5    -2    -3    1     0     0     -1    -3   -2.98  -0.467184
 -5    -2    -3    1     0     0     -1    -3   -3.38  -0.632094
 -1    8     -3    -1    0     0     -1    -3   -3.63  -0.816107
 3     5     2     0     -1    1     0     2    -3.55  -1.013677
 -4    -5    -1    -1    -2    -1    -1    -3   -3.36  -1.216648
 -1    6     -2    -1    1     0     -2    -3   -3.57  -1.417379
 -1    6     -2    -1    1     0     -2    -3   -3.70  -1.607219
 -7    -13   -4    -3    -3    -4    -4    -9   -3.71  -1.778773
 -1    -6    -1    -2    0     1     -2    0    -3.91  -1.930183
 2     7     -2    1     1     -3    -2    -4   -4.02  -2.061364
 2     -6    -2    1     0     0     0     1    -4.06  -2.169359
 -5    3     -1    -1    0     -2    0     -5   -4.10  -2.253892
 4     15    3     0     -1    0     -1    0    -4.31  -2.317694
 -2    -17   1     -1    0     0     5     6    -4.41  -2.365352
 -3    -4    0     0     2     3     2     3    -4.48  -2.398545
 -3    -4    0     0     2     3     2     3    -4.47  -2.415025
 -5    -15   -1    -1    0     -1    -4    1    -4.64  -2.414300
 -1    3     1     0     -3    -3    -3    -3   -4.60  -2.396212
 0     9     -2    -1    -1    1     -2    -1   -4.65  -2.357975
 -4    6     -3    -4    -4    -5    -5    -3   -4.67  -2.294910
 -3    9     0     -1    0     2     2     9    -4.84  -2.203135
 2     5     0     -1    -1    0     -3    0    -4.76  -2.086231
 -4    -3    -1    -1    0     -1    -2    -5   -4.75  -1.948205
 2     -3    1     -1    -1    0     0     0    -4.84  -1.795744
 2     -3    1     -1    -1    0     0     0    -4.92  -1.633283
 3     -5    2     0     -2    -1    0     0    -4.72  -1.463222
 0     9     0     1     -1    1     0     -1   -4.53  -1.285085
 0     9     0     1     -1    1     0     -1   -4.62  -1.096692
 6     -10   -1    -2    0     0     0     -3   -4.54  -0.896592
 1     3     -2    -2    -2    -2    -2    0    -4.56  -0.690189
 4     19    2     -1    -3    -2    0     -1   -4.68  -0.483320
 -2    0     -2    1     1     -1    -1    -7   -4.80  -0.278850
 5     2     0     -1    0     0     0     -2   -4.89  -0.078440
 5     2     0     -1    0     0     0     -2   -4.87  0.112763
