EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -13   1     17    47    28    10    -1    -8   2.201 2.377 28.560 -1.622 -0.192 0.612 0
 -13   1     17    47    28    10    -1    -8   2.206 2.360 28.580 -1.629 -0.192 0.610 0
 -13   1     17    47    28    10    -1    -8   2.206 2.342 28.610 -1.634 -0.192 0.607 0
 -2    -10   -3    23    -9    -23   -4    1    2.192 2.330 28.647 -1.638 -0.193 0.607 0
 -2    -10   -3    23    -9    -23   -4    1    2.182 2.317 28.692 -1.640 -0.193 0.606 0
 -2    -10   -3    23    -9    -23   -4    1    2.162 2.308 28.740 -1.642 -0.193 0.607 0
 -2    -10   -3    23    -9    -23   -4    1    2.132 2.307 28.794 -1.643 -0.192 0.609 0
 -2    -10   -3    23    -9    -23   -4    1    2.101 2.313 28.857 -1.641 -0.191 0.611 0
 -7    4     1     -8    -18   -12   -6    -7   2.072 2.322 28.920 -1.639 -0.190 0.613 0
 17    25    21    11    22    17    7     9    2.044 2.329 28.977 -1.639 -0.190 0.615 0
 17    25    21    11    22    17    7     9    2.012 2.333 29.019 -1.641 -0.191 0.617 0
 17    25    21    11    22    17    7     9    1.982 2.326 29.049 -1.645 -0.191 0.619 0
 1     16    1     -39   -16   7     -2    -4   1.959 2.313 29.065 -1.650 -0.191 0.620 0
 1     16    1     -39   -16   7     -2    -4   1.942 2.309 29.088 -1.653 -0.190 0.620 0
 1     16    1     -39   -16   7     -2    -4   1.937 2.305 29.101 -1.658 -0.188 0.618 0
 1     16    1     -39   -16   7     -2    -4   1.940 2.307 29.113 -1.662 -0.187 0.615 0
 1     16    1     -39   -16   7     -2    -4   1.962 2.306 29.124 -1.668 -0.186 0.610 0
 1     16    1     -39   -16   7     -2    -4   1.999 2.303 29.133 -1.674 -0.187 0.604 0
 2     7     -9    -12   3     8     3     0    2.052 2.298 29.154 -1.680 -0.189 0.597 0
 2     7     -9    -12   3     8     3     0    2.111 2.293 29.183 -1.685 -0.191 0.590 0
 2     7     -9    -12   3     8     3     0    2.183 2.291 29.232 -1.686 -0.191 0.580 0
 2     7     -9    -12   3     8     3     0    2.253 2.293 29.294 -1.687 -0.191 0.570 0
 2     7     -9    -12   3     8     3     0    2.315 2.294 29.366 -1.689 -0.191 0.561 0
 -1    -24   -37   -56   -43   -11   -1    0    2.366 2.293 29.447 -1.691 -0.191 0.554 0
 -5    -6    13    38    15    -4    -5    -4   2.403 2.291 29.538 -1.693 -0.192 0.548 0
 -5    -6    13    38    15    -4    -5    -4   2.425 2.286 29.637 -1.694 -0.193 0.546 0
 -5    -6    13    38    15    -4    -5    -4   2.441 2.290 29.745 -1.695 -0.194 0.546 0
 2     7     20    7     16    15    5     -1   2.449 2.303 29.859 -1.694 -0.197 0.547 0
 2     7     20    7     16    15    5     -1   2.460 2.333 29.971 -1.693 -0.199 0.549 0
 2     7     20    7     16    15    5     -1   2.472 2.369 30.079 -1.692 -0.201 0.551 0
 2     7     20    7     16    15    5     -1   2.486 2.411 30.182 -1.691 -0.203 0.553 0
 2     7     20    7     16    15    5     -1   2.502 2.453 30.283 -1.689 -0.204 0.553 0
 2     7     20    7     16    15    5     -1   2.512 2.489 30.378 -1.687 -0.205 0.555 0
 -2    -14   -27   -21   -70   -18   -1    4    2.516 2.505 30.461 -1.687 -0.207 0.557 0
 -2    -14   -27   -21   -70   -18   -1    4    2.510 2.504 30.523 -1.689 -0.209 0.559 0
 -2    -14   -27   -21   -70   -18   -1    4    2.497 2.482 30.572 -1.694 -0.211 0.561 0
 -2    -14   -27   -21   -70   -18   -1    4    2.476 2.452 30.611 -1.699 -0.212 0.563 0
 -2    -14   -27   -21   -70   -18   -1    4    2.456 2.423 30.641 -1.705 -0.210 0.563 0
 -6    1     -45   -55   -20   -11   -11   -10  2.439 2.400 30.666 -1.711 -0.207 0.561 0
 -3    -11   20    40    28    -7    -2    -3   2.427 2.381 30.689 -1.716 -0.203 0.558 0
 -3    -11   20    40    28    -7    -2    -3   2.427 2.365 30.711 -1.721 -0.200 0.554 0
 -3    -11   20    40    28    -7    -2    -3   2.439 2.341 30.732 -1.726 -0.199 0.550 0
 6     22    7     -25   -21   0     2     2    2.468 2.319 30.750 -1.730 -0.199 0.544 0
 4     0     -6    -31   -14   -3    1     3    2.505 2.292 30.773 -1.734 -0.199 0.538 0
 4     0     -6    -31   -14   -3    1     3    2.553 2.275 30.797 -1.735 -0.199 0.531 0
 4     0     -6    -31   -14   -3    1     3    2.598 2.261 30.828 -1.735 -0.198 0.524 0
 4     0     -6    -31   -14   -3    1     3    2.638 2.255 30.861 -1.734 -0.197 0.519 0
 4     0     -6    -31   -14   -3    1     3    2.673 2.256 30.888 -1.732 -0.197 0.516 0
 5     -14   -23   -4    19    -2    1     3    2.700 2.263 30.904 -1.732 -0.198 0.514 0
 5     -14   -23   -4    19    -2    1     3    2.740 2.268 30.904 -1.734 -0.198 0.514 0
 5     -14   -23   -4    19    -2    1     3    2.758 2.276 30.887 -1.737 -0.201 0.516 0
 5     -14   -23   -4    19    -2    1     3    2.788 2.280 30.850 -1.743 -0.204 0.518 0
 5     -14   -23   -4    19    -2    1     3    2.823 2.284 30.803 -1.749 -0.206 0.518 0
 -1    17    27    15    16    6     -3    -3   2.860 2.290 30.747 -1.754 -0.207 0.517 0
 -1    17    27    15    16    6     -3    -3   2.890 2.295 30.689 -1.758 -0.208 0.517 0
 -1    17    27    15    16    6     -3    -3   2.915 2.290 30.631 -1.761 -0.208 0.517 0
 2     -3    0     -6    -33   -20   -3    -1   2.929 2.284 30.579 -1.763 -0.207 0.517 0
 8     19    29    30    19    12    7     6    2.933 2.259 30.520 -1.766 -0.207 0.518 0
 -2    -8    -39   -33   -8    6     3     1    2.922 2.233 30.459 -1.769 -0.208 0.522 0
 -2    -8    -39   -33   -8    6     3     1    2.911 2.211 30.400 -1.771 -0.207 0.524 0
 -2    -8    -39   -33   -8    6     3     1    2.888 2.191 30.346 -1.772 -0.206 0.529 0
 -2    -8    -39   -33   -8    6     3     1    2.872 2.183 30.289 -1.771 -0.204 0.532 0
 -5    -5    9     27    37    10    1     -2   2.861 2.175 30.237 -1.767 -0.202 0.535 0
 -2    -2    5     -15   6     16    2     -3   2.859 2.179 30.159 -1.762 -0.200 0.538 0
