EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 0     -19   -31   -45   12    3     5     5     0
 2     45    30    -10   -35   -1    -1    -4   5.145 0.094 41.422 -2.516 -0.247 0.651 0
 2     45    30    -10   -35   -1    -1    -4   5.188 0.119 41.713 -2.503 -0.241 0.641 0
 2     45    30    -10   -35   -1    -1    -4   5.184 0.149 41.921 -2.494 -0.240 0.638 0
 2     45    30    -10   -35   -1    -1    -4   5.148 0.190 42.094 -2.490 -0.240 0.641 0
 -6    -21   28    93    68    -4    -4    -3   5.056 0.264 42.252 -2.492 -0.242 0.650 0
 -6    -21   28    93    68    -4    -4    -3   4.970 0.325 42.334 -2.496 -0.241 0.659 0
 -6    -21   28    93    68    -4    -4    -3   4.851 0.386 42.370 -2.506 -0.243 0.673 0
 1     12    -6    -24   -28   6     0     -5   4.729 0.441 42.358 -2.523 -0.246 0.688 0
 -10   5     32    36    11    -1    -7    -13  4.606 0.490 42.311 -2.547 -0.250 0.704 0
 -10   5     32    36    11    -1    -7    -13  4.489 0.527 42.270 -2.571 -0.255 0.719 0
 -10   5     32    36    11    -1    -7    -13  4.390 0.543 42.230 -2.597 -0.259 0.731 0
 -10   5     32    36    11    -1    -7    -13  4.310 0.539 42.223 -2.619 -0.262 0.741 0
 -10   5     32    36    11    -1    -7    -13  4.255 0.515 42.273 -2.633 -0.264 0.747 0
 11    2     -4    1     -19   3     3     9    4.217 0.470 42.418 -2.641 -0.265 0.751 0
 11    2     -4    1     -19   3     3     9    4.207 0.414 42.645 -2.638 -0.264 0.753 0
 11    2     -4    1     -19   3     3     9    4.251 0.348 42.903 -2.631 -0.262 0.748 0
 11    2     -4    1     -19   3     3     9    4.319 0.289 43.161 -2.626 -0.260 0.741 0
 11    2     -4    1     -19   3     3     9    4.409 0.238 43.381 -2.624 -0.259 0.733 0
 -5    17    27    -14   -26   0     -1    -6   4.498 0.193 43.539 -2.629 -0.260 0.726 0
 -5    17    27    -14   -26   0     -1    -6   4.584 0.147 43.630 -2.640 -0.261 0.721 0
 -8    -7    9     3     -4    -2    -4    -5   4.658 0.116 43.658 -2.657 -0.263 0.720 0
 6     16    16    31    -7    7     3     4    4.726 0.109 43.621 -2.681 -0.266 0.721 0
 6     16    16    31    -7    7     3     4    4.784 0.122 43.552 -2.707 -0.270 0.726 0
 6     16    16    31    -7    7     3     4    4.831 0.156 43.482 -2.731 -0.276 0.734 0
 6     16    16    31    -7    7     3     4    4.871 0.207 43.446 -2.749 -0.281 0.744 0
 2     8     44    48    53    30    7     3    4.897 0.264 43.464 -2.757 -0.285 0.755 0
 2     8     44    48    53    30    7     3    4.922 0.300 43.543 -2.755 -0.286 0.761 0
 2     8     44    48    53    30    7     3    4.920 0.307 43.660 -2.750 -0.284 0.768 0
 2     8     44    48    53    30    7     3    4.891 0.281 43.797 -2.747 -0.281 0.774 0
 2     8     44    48    53    30    7     3    4.838 0.240 43.955 -2.744 -0.278 0.781 0
 -2    -2    3     -5    -12   -3    2     -5   4.772 0.212 44.124 -2.738 -0.275 0.787 0
 -2    -2    3     -5    -12   -3    2     -5   4.714 0.198 44.287 -2.729 -0.271 0.791 0
 -8    -26   -64   -47   -59   -5    -2    -6   4.672 0.204 44.426 -2.720 -0.266 0.792 0
 17    11    -5    -35   -45   -6    5     11   4.661 0.208 44.507 -2.714 -0.260 0.787 0
 17    11    -5    -35   -45   -6    5     11   4.674 0.223 44.515 -2.716 -0.254 0.778 0
 17    11    -5    -35   -45   -6    5     11   4.688 0.257 44.444 -2.725 -0.251 0.771 0
 17    11    -5    -35   -45   -6    5     11   4.687 0.305 44.325 -2.737 -0.251 0.769 0
 -6    3     -13   -17   10    3     0     -5   4.688 0.361 44.173 -2.751 -0.252 0.769 0
 -6    3     -13   -17   10    3     0     -5   4.683 0.430 44.019 -2.761 -0.253 0.771 0
 -6    3     -13   -17   10    3     0     -5   4.682 0.509 43.899 -2.765 -0.252 0.772 0
 -6    3     -13   -17   10    3     0     -5   4.706 0.590 43.820 -2.762 -0.249 0.770 0
 2     -15   38    52    -21   -6    2     2    4.732 0.646 43.770 -2.757 -0.248 0.767 0
 -12   13    -8    -19   15    -4    -10   -10  4.769 0.664 43.774 -2.746 -0.246 0.763 0
 -12   13    -8    -19   15    -4    -10   -10  4.777 0.650 43.808 -2.734 -0.246 0.762 0
 -5    -4    -34   -71   -46   -16   -6    -3   4.769 0.611 43.871 -2.720 -0.244 0.762 0
 -5    -4    -34   -71   -46   -16   -6    -3   4.716 0.565 43.923 -2.708 -0.245 0.768 0
 -5    -4    -34   -71   -46   -16   -6    -3   4.659 0.506 43.975 -2.697 -0.243 0.773 0
 -5    -4    -34   -71   -46   -16   -6    -3   4.584 0.445 43.984 -2.692 -0.244 0.780 0
 17    35    53    57    61    28    11    9    4.502 0.396 43.967 -2.691 -0.245 0.787 0
 3     2     -7    2     33    -5    3     2    4.428 0.359 43.915 -2.693 -0.244 0.793 0
 3     2     -7    2     33    -5    3     2    4.356 0.340 43.817 -2.701 -0.246 0.800 0
 3     2     -7    2     33    -5    3     2    4.287 0.340 43.679 -2.710 -0.249 0.810 0
 3     2     -7    2     33    -5    3     2    4.241 0.357 43.549 -2.719 -0.253 0.817 0
 -3    -30   11    76    69    -7    -1    2    4.213 0.374 43.414 -2.729 -0.256 0.823 0
 -3    -30   11    76    69    -7    -1    2    4.191 0.383 43.297 -2.737 -0.260 0.828 0
 -3    -30   11    76    69    -7    -1    2    4.171 0.371 43.197 -2.744 -0.263 0.834 0
 -5    -15   -35   -37   -26   7     0     2    4.167 0.332 43.131 -2.747 -0.266 0.836 0
 -5    -15   -35   -37   -26   7     0     2    4.157 0.277 43.100 -2.745 -0.268 0.838 0
 -5    -15   -35   -37   -26   7     0     2    4.166 0.213 43.092 -2.740 -0.266 0.835 0
 -5    -15   -35   -37   -26   7     0     2    4.189 0.141 43.083 -2.733 -0.263 0.829 0
 -2    -14   10    -38   -84   -18   -2    -1   4.190 0.075 43.046 -2.728 -0.264 0.826 0
 -2    -14   10    -38   -84   -18   -2    -1   4.197 0.005 42.966 -2.725 -0.264 0.820 0
 -2    -14   10    -38   -84   -18   -2    -1   4.178 -0.047 42.832 -2.725 -0.265 0.814 0
 -2    -14   10    -38   -84   -18   -2    -1   4.146 -0.092 42.653 -2.727 -0.263 0.808 0
 -2    -14   10    -38   -84   -18   -2    -1   4.088 -0.124 42.433 -2.731 -0.262 0.804 0
 1     0     -31   -20   27    -1    0     4    3.985 -0.162 42.139 -2.736 -0.262 0.804 0
 1     0     -31   -20   27    -1    0     4    3.883 -0.186 41.889 -2.737 -0.265 0.809 0
 16    14    22    11    -42   -19   -1    9    3.777 -0.186 41.664 -2.732 -0.268 0.815 0
 -8    -19   -10   43    69    13    -6    -6   3.661 -0.146 41.429 -2.718 -0.270 0.822 0
 -8    -19   -10   43    69    13    -6    -6   3.574 -0.084 41.267 -2.700 -0.272 0.826 0
 -8    -19   -10   43    69    13    -6    -6   3.488 -0.010 41.120 -2.682 -0.274 0.832 0
 -8    -19   -10   43    69    13    -6    -6   3.415 0.057 40.990 -2.661 -0.275 0.837 0
 4     12    30    -34   -23   2     1     -1   3.339 0.105 40.868 -2.640 -0.278 0.844 0
