EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -10   -9    -19   -39   -25   -5    -6    -10   0
 8     5     23    14    10    -1    3     8    5.752 0.921 30.687 -2.069 -0.260 0.814 0
 8     5     23    14    10    -1    3     8    5.759 1.033 30.913 -2.059 -0.260 0.818 0
 0     5     -12   -39   -37   -6    1     -3   5.747 1.100 30.973 -2.062 -0.261 0.822 0
 0     5     -12   -39   -37   -6    1     -3   5.717 1.178 30.963 -2.074 -0.262 0.829 0
 0     5     -12   -39   -37   -6    1     -3   5.674 1.234 30.877 -2.094 -0.261 0.834 0
 0     5     -12   -39   -37   -6    1     -3   5.609 1.272 30.757 -2.117 -0.261 0.842 0
 2     12    9     -26   10    12    1     -2   5.532 1.298 30.617 -2.139 -0.260 0.850 0
 2     12    9     -26   10    12    1     -2   5.451 1.320 30.487 -2.160 -0.260 0.857 0
 2     12    9     -26   10    12    1     -2   5.366 1.355 30.390 -2.174 -0.258 0.863 0
 9     5     -3    11    3     -3    4     8    5.275 1.413 30.346 -2.180 -0.253 0.868 0
 -11   -20   -18   -43   -43   -9    -3    -6   5.213 1.460 30.371 -2.176 -0.248 0.871 0
 -11   -20   -18   -43   -43   -9    -3    -6   5.155 1.492 30.440 -2.166 -0.245 0.874 0
 -11   -20   -18   -43   -43   -9    -3    -6   5.118 1.504 30.529 -2.156 -0.243 0.874 0
 -1    12    -15   -30   4     -2    -6    -7   5.085 1.510 30.627 -2.149 -0.243 0.875 0
 -17   -26   9     41    17    5     -6    -10  5.060 1.521 30.721 -2.144 -0.241 0.874 0
 -17   -26   9     41    17    5     -6    -10  5.029 1.537 30.802 -2.142 -0.240 0.875 0
 -17   -26   9     41    17    5     -6    -10  5.007 1.544 30.842 -2.146 -0.240 0.876 0
 -17   -26   9     41    17    5     -6    -10  4.994 1.551 30.862 -2.153 -0.242 0.878 0
 1     5     -2    -4    -6    -2    2     3    4.988 1.549 30.862 -2.164 -0.246 0.881 0
 1     5     -2    -4    -6    -2    2     3    5.014 1.550 30.855 -2.174 -0.250 0.880 0
 1     5     -2    -4    -6    -2    2     3    5.049 1.576 30.872 -2.182 -0.254 0.879 0
 -1    -4    5     2     -11   -1    3     4    5.091 1.596 30.897 -2.184 -0.256 0.875 0
 3     -2    -13   -1    -7    -10   -2    1    5.127 1.610 30.948 -2.182 -0.257 0.872 0
 3     -2    -13   -1    -7    -10   -2    1    5.174 1.612 31.012 -2.178 -0.256 0.866 0
 3     -2    -13   -1    -7    -10   -2    1    5.210 1.606 31.080 -2.171 -0.257 0.861 0
 2     18    24    63    9     5     -3    -2   5.243 1.593 31.130 -2.166 -0.257 0.856 0
 2     18    24    63    9     5     -3    -2   5.269 1.586 31.146 -2.164 -0.257 0.851 0
 2     18    24    63    9     5     -3    -2   5.280 1.591 31.117 -2.166 -0.256 0.846 0
 2     18    24    63    9     5     -3    -2   5.285 1.600 31.039 -2.171 -0.251 0.839 0
 2     18    24    63    9     5     -3    -2   5.266 1.604 30.909 -2.180 -0.245 0.834 0
 9     28    44    20    7     -2    -1    1    5.220 1.601 30.728 -2.194 -0.241 0.832 0
 9     28    44    20    7     -2    -1    1    5.145 1.605 30.519 -2.214 -0.241 0.835 0
 9     28    44    20    7     -2    -1    1    5.053 1.615 30.315 -2.236 -0.240 0.840 0
 -8    -19   -8    29    12    -9    -6    -5   4.951 1.628 30.155 -2.253 -0.240 0.847 0
 -3    7     4     -29   -29   0     -1    -2   4.851 1.622 30.073 -2.262 -0.238 0.855 0
 -3    7     4     -29   -29   0     -1    -2   4.760 1.603 30.090 -2.262 -0.237 0.863 0
 -3    7     4     -29   -29   0     -1    -2   4.704 1.575 30.209 -2.252 -0.236 0.867 0
