EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 6     6     14    18    1     3     4     2     0
 -8    -19   10    70    70    9     -1    0    2.716 -1.426 25.117 -1.916 -0.263 0.981 0
 -8    -19   10    70    70    9     -1    0    2.754 -1.389 25.193 -1.940 -0.260 0.971 0
 1     -2    -22   -48   -43   -26   -1    1    2.831 -1.298 25.322 -1.953 -0.259 0.960 0
 1     -2    -22   -48   -43   -26   -1    1    2.940 -1.186 25.537 -1.957 -0.256 0.950 0
 1     -2    -22   -48   -43   -26   -1    1    3.117 -1.107 25.835 -1.953 -0.249 0.937 0
 5     19    18    7     -16   -3    -2    1    3.375 -1.094 26.173 -1.948 -0.239 0.919 0
 5     19    18    7     -16   -3    -2    1    3.744 -1.117 26.543 -1.943 -0.229 0.893 0
 5     19    18    7     -16   -3    -2    1    4.242 -1.109 26.962 -1.931 -0.218 0.852 0
 5     19    18    7     -16   -3    -2    1    4.723 -1.019 27.383 -1.914 -0.206 0.812 0
 5     19    18    7     -16   -3    -2    1    4.959 -0.862 27.676 -1.911 -0.204 0.802 0
 2     0     -10   -30   -35   -6    -1    -1   5.381 -0.781 27.984 -1.900 -0.186 0.760 0
 2     0     -10   -30   -35   -6    -1    -1   5.780 -0.704 28.283 -1.892 -0.178 0.724 0
 2     0     -10   -30   -35   -6    -1    -1   6.125 -0.658 28.541 -1.885 -0.172 0.692 0
 2     0     -10   -30   -35   -6    -1    -1   6.372 -0.661 28.711 -1.887 -0.163 0.668 0
 1     -1    2     10    21    12    4     5    6.504 -0.643 28.810 -1.891 -0.151 0.653 0
 1     -1    2     10    21    12    4     5    6.515 -0.599 28.830 -1.905 -0.144 0.655 0
 1     -1    2     10    21    12    4     5    6.426 -0.536 28.753 -1.932 -0.145 0.670 0
 -2    14    33    36    24    7     -3    -6   6.307 -0.413 28.683 -1.956 -0.149 0.689 0
 -2    14    33    36    24    7     -3    -6   6.172 -0.209 28.699 -1.968 -0.155 0.711 0
 -2    14    33    36    24    7     -3    -6   6.042 -0.020 28.789 -1.971 -0.159 0.729 0
 -2    14    33    36    24    7     -3    -6   5.907 0.075 28.947 -1.968 -0.160 0.747 0
 -2    14    33    36    24    7     -3    -6   5.704 0.088 29.225 -1.960 -0.163 0.773 0
 -4    -2    12    35    36    7     1     -2   5.522 0.039 29.491 -1.952 -0.165 0.796 0
 -4    -2    12    35    36    7     1     -2   5.330 -0.020 29.710 -1.951 -0.170 0.821 0
 -4    -2    12    35    36    7     1     -2   5.182 -0.046 29.850 -1.954 -0.176 0.840 0
 -4    -2    12    35    36    7     1     -2   5.054 -0.027 29.956 -1.959 -0.182 0.856 0
 -4    -2    12    35    36    7     1     -2   4.953 0.012 30.006 -1.969 -0.188 0.868 0
 10    15    2     -3    10    3     1     4    4.883 0.039 29.989 -1.985 -0.194 0.875 0
 10    15    2     -3    10    3     1     4    4.830 0.014 29.878 -2.016 -0.200 0.878 0
 10    15    2     -3    10    3     1     4    4.813 -0.069 29.734 -2.045 -0.204 0.875 0
 -8    3     25    11    -17   -19   -10   -3   4.797 -0.223 29.538 -2.081 -0.209 0.872 0
 -8    3     25    11    -17   -19   -10   -3   4.775 -0.510 29.229 -2.135 -0.216 0.868 0
 -10   -26   -35   -48   -5    -13   -6    -7   4.745 -0.761 28.961 -2.180 -0.220 0.865 0
 -10   -26   -35   -48   -5    -13   -6    -7   4.704 -0.976 28.711 -2.220 -0.223 0.863 0
 -10   -26   -35   -48   -5    -13   -6    -7   4.650 -1.124 28.498 -2.253 -0.224 0.862 0
 -10   -26   -35   -48   -5    -13   -6    -7   4.597 -1.209 28.328 -2.279 -0.226 0.862 0
 -2    -6    -13   -13   -55   -7    -3    -5   4.545 -1.248 28.206 -2.297 -0.228 0.862 0
 -2    -6    -13   -13   -55   -7    -3    -5   4.485 -1.261 28.136 -2.308 -0.231 0.865 0
 -2    -6    -13   -13   -55   -7    -3    -5   4.418 -1.278 28.118 -2.312 -0.234 0.870 0
 -2    -6    -13   -13   -55   -7    -3    -5   4.352 -1.312 28.148 -2.309 -0.237 0.874 0
 -2    -6    -13   -13   -55   -7    -3    -5   4.278 -1.359 28.216 -2.301 -0.239 0.881 0
 9     34    37    37    0     8     -1    2    4.179 -1.411 28.293 -2.292 -0.241 0.891 0
 9     34    37    37    0     8     -1    2    4.085 -1.457 28.367 -2.284 -0.242 0.898 0
 9     34    37    37    0     8     -1    2    3.956 -1.468 28.419 -2.280 -0.246 0.910 0
 9     34    37    37    0     8     -1    2    3.821 -1.450 28.431 -2.282 -0.250 0.922 0
 -20   -54   -47   -25   -4    -8    -5    -7   3.657 -1.392 28.393 -2.292 -0.254 0.936 0
 -20   -54   -47   -25   -4    -8    -5    -7   3.548 -1.326 28.332 -2.303 -0.257 0.943 0
 0     -5    -16   0     20    1     -1    -5   3.467 -1.263 28.251 -2.316 -0.261 0.948 0
 0     -5    -16   0     20    1     -1    -5   3.412 -1.217 28.163 -2.330 -0.264 0.948 0
 0     -5    -16   0     20    1     -1    -5   3.379 -1.209 28.071 -2.345 -0.266 0.946 0
 3     15    4     -21   -22   -13   -4    -1   3.366 -1.244 27.986 -2.359 -0.267 0.941 0
 -4    2     20    41    12    -2    0     -2   3.382 -1.300 27.927 -2.369 -0.264 0.930 0
 -4    2     20    41    12    -2    0     -2   3.400 -1.328 27.911 -2.374 -0.261 0.918 0
 -4    2     20    41    12    -2    0     -2   3.427 -1.298 27.955 -2.372 -0.257 0.905 0
 -4    2     20    41    12    -2    0     -2   3.457 -1.213 28.057 -2.362 -0.253 0.892 0
 -4    2     20    41    12    -2    0     -2   3.486 -1.086 28.206 -2.346 -0.249 0.880 0
 -2    -19   -24   -9    2     3     0     -1   3.527 -0.951 28.383 -2.327 -0.247 0.867 0
 -2    -19   -24   -9    2     3     0     -1   3.568 -0.823 28.571 -2.307 -0.244 0.856 0
 -2    -19   -24   -9    2     3     0     -1   3.618 -0.713 28.767 -2.285 -0.241 0.843 0
 -2    -19   -24   -9    2     3     0     -1   3.684 -0.634 28.938 -2.265 -0.235 0.827 0
 -3    -2    12    38    18    0     -2    -3   3.742 -0.574 29.073 -2.249 -0.230 0.813 0
 -2    1     -2    -7    -19   -2    -4    -4   3.799 -0.496 29.170 -2.239 -0.225 0.799 0
 -2    1     -2    -7    -19   -2    -4    -4   3.811 -0.421 29.187 -2.239 -0.223 0.792 0
 -2    1     -2    -7    -19   -2    -4    -4   3.818 -0.345 29.136 -2.248 -0.221 0.787 0
 -2    1     -2    -7    -19   -2    -4    -4   3.789 -0.236 29.067 -2.259 -0.221 0.785 0
 -5    -20   -36   4     19    -11   -4    -4   3.735 -0.101 28.983 -2.271 -0.223 0.787 0
 -5    -20   -36   4     19    -11   -4    -4   3.679 0.038 28.912 -2.281 -0.223 0.789 0
 -5    -20   -36   4     19    -11   -4    -4   3.619 0.164 28.871 -2.286 -0.223 0.793 0
 -5    -20   -36   4     19    -11   -4    -4   3.564 0.270 28.877 -2.283 -0.221 0.795 0
 -5    -20   -36   4     19    -11   -4    -4   3.546 0.329 28.922 -2.275 -0.215 0.791 0
 -5    -20   -36   4     19    -11   -4    -4   3.553 0.344 28.995 -2.264 -0.209 0.783 0
 -9    -14   -28   -52   -7    -3    -3    -5   3.573 0.328 29.098 -2.249 -0.204 0.774 0
 -9    -14   -28   -52   -7    -3    -3    -5   3.604 0.299 29.207 -2.235 -0.201 0.764 0
 -9    -14   -28   -52   -7    -3    -3    -5   3.640 0.282 29.306 -2.225 -0.198 0.753 0
 0     0     26    54    24    2     2     1    3.665 0.291 29.389 -2.216 -0.197 0.744 0
 0     0     26    54    24    2     2     1    3.672 0.314 29.445 -2.211 -0.196 0.737 0
 14    20    12    -10   59    25    10    9    3.676 0.333 29.460 -2.208 -0.192 0.729 0
 14    20    12    -10   59    25    10    9    3.662 0.328 29.405 -2.214 -0.187 0.719 0
 14    20    12    -10   59    25    10    9    3.664 0.261 29.253 -2.234 -0.182 0.706 0
