EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 4     3     15    -12   10    0     -3    3     0
 -2    2     11    6     2     5     -1    -4   3.109 -0.995 27.050 -1.935 -0.284 0.471 0
 -2    2     11    6     2     5     -1    -4   3.082 -0.952 27.211 -1.944 -0.286 0.480 0
 -2    2     11    6     2     5     -1    -4   3.064 -0.918 27.364 -1.949 -0.288 0.488 0
 -2    2     11    6     2     5     -1    -4   3.059 -0.883 27.533 -1.953 -0.289 0.494 0
 -2    2     11    6     2     5     -1    -4   3.070 -0.853 27.711 -1.955 -0.290 0.498 0
 4     10    -9    -44   -32   0     -1    0    3.090 -0.829 27.896 -1.958 -0.291 0.500 0
 4     10    -9    -44   -32   0     -1    0    3.119 -0.815 28.077 -1.961 -0.294 0.502 0
 4     10    -9    -44   -32   0     -1    0    3.162 -0.806 28.294 -1.966 -0.297 0.501 0
 -4    -1    30    47    7     -9    -3    -2   3.207 -0.800 28.498 -1.971 -0.299 0.499 0
 4     3     8     25    33    12    5     9    3.254 -0.787 28.718 -1.977 -0.298 0.495 0
 4     3     8     25    33    12    5     9    3.281 -0.778 28.846 -1.982 -0.297 0.490 0
 4     3     8     25    33    12    5     9    3.307 -0.768 28.992 -1.995 -0.296 0.484 0
 0     7     1     -7    -11   1     0     -2   3.314 -0.762 29.078 -2.009 -0.297 0.481 0
 -13   -44   -39   -27   3     -13   -5    -5   3.307 -0.752 29.137 -2.022 -0.297 0.479 0
 -13   -44   -39   -27   3     -13   -5    -5   3.293 -0.729 29.214 -2.037 -0.297 0.477 0
 -13   -44   -39   -27   3     -13   -5    -5   3.266 -0.696 29.311 -2.048 -0.296 0.476 0
 -13   -44   -39   -27   3     -13   -5    -5   3.229 -0.651 29.460 -2.060 -0.294 0.477 0
 2     -1    10    55    23    10    5     3    3.208 -0.622 29.585 -2.067 -0.294 0.480 0
 2     -1    10    55    23    10    5     3    3.188 -0.589 29.765 -2.074 -0.296 0.485 0
 -5    -7    14    38    19    0     -1    -4   3.174 -0.536 30.032 -2.078 -0.299 0.495 0
 8     -1    -44   -79   -33   8     4     5    3.182 -0.478 30.287 -2.076 -0.302 0.502 0
 -7    -5    12    43    13    -12   -9    -6   3.206 -0.425 30.549 -2.073 -0.303 0.506 0
 -7    -5    12    43    13    -12   -9    -6   3.235 -0.390 30.752 -2.071 -0.304 0.505 0
 -7    -5    12    43    13    -12   -9    -6   3.291 -0.372 31.023 -2.073 -0.303 0.501 0
 -9    -1    26    63    89    16    -1    -4   3.342 -0.383 31.203 -2.080 -0.301 0.495 0
 0     2     -35   -45   -23   -2    2     -3   3.385 -0.410 31.332 -2.095 -0.302 0.490 0
 0     2     -35   -45   -23   -2    2     -3   3.439 -0.430 31.424 -2.113 -0.304 0.484 0
 0     2     -35   -45   -23   -2    2     -3   3.490 -0.432 31.493 -2.134 -0.305 0.478 0
 0     2     -35   -45   -23   -2    2     -3   3.541 -0.423 31.537 -2.151 -0.305 0.472 0
 -6    -14   -11   -45   -27   -9    -6    -4   3.622 -0.404 31.617 -2.175 -0.303 0.463 0
 -6    -14   -11   -45   -27   -9    -6    -4   3.683 -0.394 31.715 -2.192 -0.303 0.458 0
 -6    -14   -11   -45   -27   -9    -6    -4   3.724 -0.392 31.851 -2.207 -0.306 0.459 0
 -6    -14   -11   -45   -27   -9    -6    -4   3.749 -0.389 31.997 -2.215 -0.307 0.460 0
 12    5     -46   -10   20    8     5     11   3.750 -0.366 32.286 -2.217 -0.309 0.465 0
 4     27    41    17    -23   -3    -1    -1   3.736 -0.342 32.511 -2.213 -0.308 0.468 0
 4     27    41    17    -23   -3    -1    -1   3.691 -0.288 32.858 -2.203 -0.305 0.473 0
 -10   -2    -25   -46   -12   5     -2    -9   3.631 -0.235 33.124 -2.195 -0.303 0.479 0
 3     24    37    42    -7    6     -1    -2   3.560 -0.180 33.337 -2.191 -0.302 0.486 0
 3     24    37    42    -7    6     -1    -2   3.484 -0.124 33.497 -2.191 -0.303 0.494 0
 3     24    37    42    -7    6     -1    -2   3.409 -0.074 33.592 -2.196 -0.305 0.502 0
 3     24    37    42    -7    6     -1    -2   3.340 -0.038 33.605 -2.210 -0.307 0.508 0
 -2    -8    -14   -29   -10   -7    -1    -1   3.284 0.001 33.589 -2.224 -0.307 0.512 0
 -2    -8    -14   -29   -10   -7    -1    -1   3.236 0.033 33.550 -2.238 -0.305 0.513 0
 -2    -8    -14   -29   -10   -7    -1    -1   3.195 0.051 33.511 -2.251 -0.303 0.514 0
 -2    -8    -14   -29   -10   -7    -1    -1   3.160 0.050 33.483 -2.262 -0.301 0.514 0
 -5    -8    -3    0     -2    11    -4    -3   3.133 0.035 33.460 -2.275 -0.300 0.512 0
 -3    -5    4     -3    -11   -6    -1    2    3.112 0.027 33.480 -2.284 -0.299 0.510 0
 -3    -5    4     -3    -11   -6    -1    2    3.110 0.034 33.543 -2.289 -0.297 0.505 0
 1     -12   -12   -8    3     -3    -2    -1   3.110 0.058 33.652 -2.287 -0.295 0.500 0
 7     11    -10   -19   -31   -12   -2    1    3.128 0.072 33.798 -2.281 -0.294 0.494 0
 7     11    -10   -19   -31   -12   -2    1    3.155 0.073 33.951 -2.273 -0.294 0.488 0
 7     11    -10   -19   -31   -12   -2    1    3.181 0.069 34.105 -2.265 -0.296 0.483 0
 7     11    -10   -19   -31   -12   -2    1    3.205 0.065 34.238 -2.258 -0.297 0.479 0
 -4    1     41    65    58    11    2     -3   3.207 0.064 34.334 -2.254 -0.299 0.479 0
 -4    1     41    65    58    11    2     -3   3.202 0.056 34.372 -2.255 -0.301 0.479 0
 -4    1     41    65    58    11    2     -3   3.185 0.044 34.368 -2.261 -0.301 0.481 0
 -4    1     41    65    58    11    2     -3   3.162 0.015 34.303 -2.274 -0.302 0.483 0
 -11   -7    2     -38   -38   -8    -3    -8   3.140 -0.013 34.225 -2.288 -0.302 0.484 0
 -1    21    16    -16   -15   -6    -5    -3   3.123 -0.041 34.127 -2.304 -0.303 0.485 0
 -1    21    16    -16   -15   -6    -5    -3   3.109 -0.062 34.059 -2.317 -0.303 0.486 0
 -11   -10   -9    -39   -36   -2    1     -3   3.108 -0.081 34.020 -2.326 -0.303 0.486 0
 -5    -26   -27   6     -1    -1    -2    -4   3.122 -0.097 34.061 -2.326 -0.302 0.483 0
 -1    -24   -35   -69   -11   -3    0     3    3.157 -0.117 34.149 -2.323 -0.301 0.480 0
 -1    -24   -35   -69   -11   -3    0     3    3.219 -0.156 34.388 -2.310 -0.303 0.480 0
 -1    -24   -35   -69   -11   -3    0     3    3.246 -0.167 34.492 -2.304 -0.304 0.481 0
