EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 13    28    64    23    -26   1     3     8     0
 6     18    -25   -96   -42   9     6     4    4.368 8.388 56.279 -2.027 -0.409 0.574 0
 6     18    -25   -96   -42   9     6     4    4.457 8.398 56.580 -2.011 -0.411 0.573 0
 6     18    -25   -96   -42   9     6     4    4.534 8.390 56.870 -1.993 -0.407 0.566 0
 6     18    -25   -96   -42   9     6     4    4.558 8.364 57.013 -1.987 -0.401 0.561 0
 -12   1     2     -8    28    -6    -10   -11  4.563 8.296 57.114 -1.988 -0.393 0.553 0
 -12   1     2     -8    28    -6    -10   -11  4.538 8.184 57.111 -2.001 -0.387 0.548 0
 -10   -25   -48   -91   -74   -8    -2    -5   4.488 8.045 56.992 -2.028 -0.383 0.545 0
 7     20    -16   -69   -47   6     2     2    4.412 7.912 56.775 -2.068 -0.383 0.546 0
 7     20    -16   -69   -47   6     2     2    4.317 7.832 56.541 -2.108 -0.384 0.552 0
 7     20    -16   -69   -47   6     2     2    4.217 7.816 56.337 -2.142 -0.385 0.559 0
 -4    -68   -55   33    21    -27   -2    5    4.117 7.850 56.211 -2.163 -0.386 0.569 0
 13    15    20    88    81    37    11    8    4.000 7.920 56.207 -2.168 -0.389 0.584 0
 13    15    20    88    81    37    11    8    3.891 7.985 56.334 -2.156 -0.392 0.600 0
 13    15    20    88    81    37    11    8    3.777 8.053 56.555 -2.135 -0.398 0.617 0
 13    15    20    88    81    37    11    8    3.669 8.122 56.851 -2.107 -0.401 0.633 0
 13    15    20    88    81    37    11    8    3.577 8.191 57.166 -2.075 -0.402 0.645 0
 -7    13    -12   -73   -86   -26   -6    -9   3.522 8.234 57.406 -2.050 -0.401 0.651 0
 -7    13    -12   -73   -86   -26   -6    -9   3.485 8.255 57.590 -2.033 -0.401 0.653 0
 -7    13    -12   -73   -86   -26   -6    -9   3.462 8.247 57.710 -2.023 -0.401 0.653 0
 -5    -26   -23   1     -30   -16   2     3    3.446 8.221 57.743 -2.025 -0.403 0.652 0
 -5    -26   -23   1     -30   -16   2     3    3.434 8.188 57.705 -2.036 -0.406 0.651 0
 6     44    23    -3    -22   3     -1    -2   3.426 8.159 57.590 -2.055 -0.409 0.648 0
 6     44    23    -3    -22   3     -1    -2   3.423 8.124 57.405 -2.081 -0.410 0.643 0
 6     44    23    -3    -22   3     -1    -2   3.421 8.082 57.170 -2.112 -0.410 0.636 0
 6     44    23    -3    -22   3     -1    -2   3.413 8.019 56.902 -2.147 -0.410 0.629 0
 -12   -30   -32   -87   -70   -21   -7    -7   3.413 7.945 56.641 -2.181 -0.409 0.618 0
 -12   -30   -32   -87   -70   -21   -7    -7   3.406 7.863 56.414 -2.210 -0.408 0.609 0
 -12   -30   -32   -87   -70   -21   -7    -7   3.394 7.783 56.258 -2.230 -0.406 0.601 0
 -12   -30   -32   -87   -70   -21   -7    -7   3.372 7.715 56.190 -2.239 -0.404 0.594 0
 -12   -30   -32   -87   -70   -21   -7    -7   3.330 7.671 56.232 -2.234 -0.401 0.591 0
 -12   -30   -32   -87   -70   -21   -7    -7   3.273 7.656 56.356 -2.219 -0.397 0.590 0
 16    39    69    9     -32   -3    3     8    3.198 7.672 56.563 -2.194 -0.394 0.593 0
 16    39    69    9     -32   -3    3     8    3.108 7.716 56.813 -2.164 -0.390 0.599 0
 16    39    69    9     -32   -3    3     8    3.023 7.785 57.072 -2.132 -0.386 0.605 0
 -2    11    17    -3    49    8     -1    -7   2.936 7.875 57.320 -2.101 -0.385 0.613 0
 -2    11    17    -3    49    8     -1    -7   2.860 7.973 57.506 -2.079 -0.386 0.621 0
 -15   -64   -82   -45   -9    6     3     0    2.789 8.067 57.616 -2.069 -0.390 0.629 0
 -15   -64   -82   -45   -9    6     3     0    2.729 8.134 57.636 -2.070 -0.395 0.636 0
 -15   -64   -82   -45   -9    6     3     0    2.676 8.174 57.565 -2.083 -0.399 0.640 0
 -15   -64   -82   -45   -9    6     3     0    2.625 8.184 57.423 -2.103 -0.402 0.640 0
 -7    14    3     -49   -12   -6    -7    -6   2.570 8.164 57.246 -2.127 -0.403 0.637 0
 -7    14    3     -49   -12   -6    -7    -6   2.509 8.122 57.046 -2.152 -0.402 0.629 0
 -7    14    3     -49   -12   -6    -7    -6   2.434 8.059 56.828 -2.179 -0.401 0.619 0
 -7    14    3     -49   -12   -6    -7    -6   2.359 7.980 56.633 -2.202 -0.399 0.605 0
 -7    14    3     -49   -12   -6    -7    -6   2.279 7.883 56.475 -2.220 -0.396 0.589 0
 -7    14    3     -49   -12   -6    -7    -6   2.197 7.792 56.375 -2.230 -0.393 0.573 0
 -15   -39   6     61    36    -1    -2    -4   2.114 7.708 56.344 -2.232 -0.389 0.555 0
 -15   -39   6     61    36    -1    -2    -4   2.036 7.648 56.397 -2.223 -0.383 0.538 0
 -15   -39   6     61    36    -1    -2    -4   1.946 7.615 56.510 -2.206 -0.378 0.525 0
 -3    2     -49   -118  -81   -11   -9    -10  1.841 7.608 56.665 -2.184 -0.375 0.519 0
 -3    2     -49   -118  -81   -11   -9    -10  1.743 7.629 56.864 -2.156 -0.372 0.516 0
 8     6     39    80    79    13    7     12   1.644 7.677 57.045 -2.132 -0.372 0.520 0
 8     6     39    80    79    13    7     12   1.553 7.751 57.204 -2.111 -0.377 0.528 0
 8     6     39    80    79    13    7     12   1.485 7.852 57.302 -2.098 -0.386 0.539 0
 8     6     39    80    79    13    7     12   1.452 7.974 57.333 -2.094 -0.398 0.550 0
 -7    7     36    -44   -78   -11   -9    -8   1.438 8.103 57.295 -2.097 -0.412 0.559 0
 -7    7     36    -44   -78   -11   -9    -8   1.452 8.221 57.208 -2.104 -0.423 0.564 0
 -7    7     36    -44   -78   -11   -9    -8   1.470 8.312 57.079 -2.114 -0.431 0.566 0
 -7    7     36    -44   -78   -11   -9    -8   1.464 8.358 56.909 -2.131 -0.438 0.569 0
 -7    7     36    -44   -78   -11   -9    -8   1.435 8.355 56.740 -2.149 -0.441 0.573 0
 -10   -20   -49   -11   2     0     1     0    1.369 8.281 56.551 -2.169 -0.441 0.578 0
 1     2     -3    -40   -26   7     -2    -3   1.304 8.189 56.436 -2.181 -0.439 0.581 0
 1     2     -3    -40   -26   7     -2    -3   1.246 8.070 56.347 -2.191 -0.436 0.580 0
 1     2     -3    -40   -26   7     -2    -3   1.213 7.958 56.324 -2.193 -0.429 0.572 0
 1     -16   -44   -58   -61   -24   0     3    1.213 7.837 56.334 -2.191 -0.418 0.554 0
 1     -16   -44   -58   -61   -24   0     3    1.247 7.757 56.386 -2.183 -0.408 0.534 0
 1     -16   -44   -58   -61   -24   0     3    1.286 7.693 56.464 -2.171 -0.399 0.515 0
 -2    3     12    -43   19    20    3     -1   1.326 7.649 56.539 -2.159 -0.392 0.498 0
 -2    3     12    -43   19    20    3     -1   1.341 7.621 56.618 -2.147 -0.388 0.488 0
 -5    34    54    86    31    -24   -13   -11  1.309 7.606 56.666 -2.141 -0.389 0.487 0
 -5    -18   16    15    31    16    2     0    1.253 7.624 56.669 -2.142 -0.393 0.495 0
 -5    -18   16    15    31    16    2     0    1.182 7.674 56.631 -2.149 -0.399 0.510 0
 -5    -18   16    15    31    16    2     0    1.131 7.756 56.574 -2.159 -0.406 0.522 0
 -5    -18   16    15    31    16    2     0    1.106 7.852 56.496 -2.171 -0.414 0.532 0
 -5    -18   16    15    31    16    2     0    1.117 7.939 56.417 -2.183 -0.420 0.537 0
 -5    0     -25   55    79    -9    -8    -8   1.150 8.005 56.349 -2.193 -0.425 0.537 0
 -5    0     -25   55    79    -9    -8    -8   1.191 8.040 56.302 -2.200 -0.430 0.534 0
 -5    0     -25   55    79    -9    -8    -8   1.224 8.055 56.305 -2.200 -0.431 0.531 0
 -1    11    30    9     -41   18    -1    -4   1.233 8.063 56.350 -2.192 -0.431 0.529 0
 -1    11    30    9     -41   18    -1    -4   1.220 8.059 56.441 -2.178 -0.428 0.527 0
 -1    11    30    9     -41   18    -1    -4   1.191 8.030 56.546 -2.162 -0.421 0.524 0
 -1    11    30    9     -41   18    -1    -4   1.153 7.968 56.616 -2.153 -0.414 0.519 0
 11    28    21    -4    -2    -1    2     2    1.119 7.866 56.659 -2.148 -0.406 0.509 0
 11    28    21    -4    -2    -1    2     2    1.086 7.740 56.666 -2.149 -0.400 0.498 0
 -14   -39   -14   -11   -1    10    4     -4   1.060 7.607 56.620 -2.157 -0.395 0.487 0
 7     17    15    28    35    8     4     5    1.042 7.500 56.547 -2.169 -0.393 0.480 0
 7     17    15    28    35    8     4     5    1.036 7.440 56.459 -2.180 -0.393 0.475 0
 7     17    15    28    35    8     4     5    1.042 7.423 56.354 -2.189 -0.394 0.472 0
 7     17    15    28    35    8     4     5    1.063 7.440 56.232 -2.198 -0.398 0.471 0
 7     17    15    28    35    8     4     5    1.098 7.482 56.102 -2.206 -0.402 0.469 0
 -10   -17   34    127   93    8     -4    -8   1.123 7.544 55.981 -2.212 -0.407 0.471 0
 -10   -17   34    127   93    8     -4    -8   1.135 7.622 55.895 -2.210 -0.411 0.476 0
 -10   -17   34    127   93    8     -4    -8   1.127 7.696 55.830 -2.205 -0.416 0.485 0
 -12   -22   -32   -88   -73   3     -1    -6   1.089 7.766 55.795 -2.196 -0.420 0.499 0
 -12   -22   -32   -88   -73   3     -1    -6   1.039 7.817 55.784 -2.184 -0.425 0.514 0
 10    11    -7    -41   -69   -18   -1    2    0.993 7.849 55.784 -2.171 -0.427 0.527 0
 10    11    -7    -41   -69   -18   -1    2    0.963 7.857 55.780 -2.158 -0.427 0.535 0
 10    11    -7    -41   -69   -18   -1    2    0.948 7.861 55.751 -2.150 -0.424 0.538 0
 10    11    -7    -41   -69   -18   -1    2    0.960 7.862 55.699 -2.144 -0.420 0.535 0
 4     5     66    105   116   21    1     6    0.988 7.864 55.618 -2.143 -0.414 0.529 0
 -9    -27   -65   -81   -15   -9    -6    -9   1.006 7.854 55.498 -2.148 -0.411 0.524 0
 -9    -27   -65   -81   -15   -9    -6    -9   1.031 7.812 55.348 -2.157 -0.409 0.518 0
 -9    -27   -65   -81   -15   -9    -6    -9   1.046 7.742 55.174 -2.169 -0.407 0.513 0
