EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Estimatedtorque
 -3    0     -1    0     3     -8    4     -8    0 0 0 0 0 0 -11.414405
 -10   1     -3    -2    3     4     -9    -29   0 0 0 0 0 0 -11.566049
 -10   1     -3    -2    3     4     -9    -29   0 0 0 0 0 0 -11.724837
 6     2     1     0     -12   -2    11    13    0 0 0 0 0 0 -11.884048
 6     2     1     0     -12   -2    11    13    0 0 0 0 0 0 -12.034528
 -1    1     1     -1    1     -5    -11   -1    0 0 0 0 0 0 -12.166760
 -1    -2    -1    -1    3     12    1     -13   0 0 0 0 0 0 -12.273823
 5     -1    1     0     -4    1     -3    -4    0 0 0 0 0 0 -12.352427
 -3    -2    -3    -2    -5    -24   -11   -14   0 0 0 0 0 0 -12.403133
 -3    -2    -3    -2    -5    -24   -11   -14   0 0 0 0 0 0 -12.428259
 -4    -2    1     0     -4    1     1     22    0 0 0 0 0 0 -12.430244
 -4    -2    1     0     -4    1     1     22    0 0 0 0 0 0 -12.410439
 -3    1     -1    1     4     6     -10   23    0 0 0 0 0 0 -12.368257
 -3    1     -1    1     4     6     -10   23    0 0 0 0 0 0 -12.301278
 -2    -1    -1    1     -3    -1    3     -6    0 0 0 0 0 0 -12.205922
 -8    -2    -2    -2    1     1     -5    -20   0 0 0 0 0 0 -12.079432
 -3    -5    -3    -1    -6    -16   -2    -13   0 0 0 0 0 0 -11.921350
 -3    -5    -3    -1    -6    -16   -2    -13   0 0 0 0 0 0 -11.735387
 -3    -5    -3    -1    -6    -16   -2    -13   0 0 0 0 0 0 -11.529343
 2     3     2     0     4     18    1     35    0 0 0 0 0 0 -11.314669
 2     0     -1    -1    -7    -4    -7    4     0 0 0 0 0 0 -11.105486
 1     1     1     0     -1    -6    -7    -18   0 0 0 0 0 0 -10.917730
 1     1     1     0     -1    -6    -7    -18   0 0 0 0 0 0 -10.768826
 11    3     1     1     -13   8     14    -10   0 0 0 0 0 0 -10.676998
 11    3     1     1     -13   8     14    -10   0 0 0 0 0 0 -10.660003
 11    3     1     1     -13   8     14    -10   0 0 0 0 0 0 -10.732647
 -14   -1    2     -1    -2    8     -10   -58   0 0 0 0 0 0 -10.904672
 -6    -1    0     1     -2    -7    -9    -1    0 0 0 0 0 0 -11.180509
 5     -1    -2    1     5     -3    7     18    0 0 0 0 0 0 -11.559321
 2     0     1     -1    -4    -6    14    28    0 0 0 0 0 0 -12.036503
 -9    -5    -3    -2    3     -3    -15   -39   0 0 0 0 0 0 -12.602441
 -9    -5    -3    -2    3     -3    -15   -39   0 0 0 0 0 0 -13.244723
 -4    2     2     -1    3     5     -1    -23   0 0 0 0 0 0 -13.949213
 -4    2     2     -1    3     5     -1    -23   0 0 0 0 0 0 -14.697793
 -2    -2    -3    -1    -2    -1    -11   32    0 0 0 0 0 0 -15.468341
 10    -2    0     2     3     -2    23    46    0 0 0 0 0 0 -16.231489
 -4    -1    1     0     -1    0     -14   -8    0 0 0 0 0 0 -16.951290
 4     5     1     3     5     2     -1    46    0 0 0 0 0 0 -17.588921
 -6    -1    0     -2    -3    -10   -1    -20   0 0 0 0 0 0 -18.109194
 -6    -1    0     -2    -3    -10   -1    -20   0 0 0 0 0 0 -18.487095
 -6    -1    0     -2    -3    -10   -1    -20   0 0 0 0 0 0 -18.715981
 1     -2    -2    -2    -2    -6    -16   -24   0 0 0 0 0 0 -18.816345
 7     1     0     -1    -9    2     21    78    0 0 0 0 0 0 -18.841639
 2     -1    0     2     1     9     10    3     0 0 0 0 0 0 -18.880806
 2     -1    0     2     1     9     10    3     0 0 0 0 0 0 -19.055611
 -1    -1    -4    -2    -1    -8    2     13    0 0 0 0 0 0 -19.511944
 -1    -1    -4    -2    -1    -8    2     13    0 0 0 0 0 0 -20.123018
 -2    -4    -2    -1    6     13    10    4     0 0 0 0 0 0 -20.686132
 -3    -4    -1    -2    0     -11   3     -14   0 0 0 0 0 0 -21.112930
 8     -1    -1    -1    5     9     17    32    0 0 0 0 0 0 -21.272369
 2     1     0     0     0     4     -9    -7    0 0 0 0 0 0 -21.278595
 2     1     0     0     0     4     -9    -7    0 0 0 0 0 0 -21.286755
 2     -7    -2    1     0     7     -1    15    0 0 0 0 0 0 -21.296537
 2     -7    -2    1     0     7     -1    15    0 0 0 0 0 0 -21.307583
 7     3     1     0     3     10    18    14    0 0 0 0 0 0 -21.318840
 7     3     1     0     3     10    18    14    0 0 0 0 0 0 -21.328501
 7     3     1     0     3     10    18    14    0 0 0 0 0 0 -21.334543
 -3    -1    -3    -1    -2    9     9     18    0 0 0 0 0 0 -21.335476
 7     2     2     1     4     2     6     40    0 0 0 0 0 0 -21.330790
 7     2     2     1     4     2     6     40    0 0 0 0 0 0 -21.320787
 7     2     2     1     4     2     6     40    0 0 0 0 0 0 -21.306063
 -8    1     2     0     -5    -3    -19   -25   0 0 0 0 0 0 -21.287312
 -5    0     1     -1    -5    -14   -13   -19   0 0 0 0 0 0 -21.265350
 4     -3    -4    -4    -2    7     51    28    0 0 0 0 0 0 -21.241106
 4     -3    -4    -4    -2    7     51    28    0 0 0 0 0 0 -21.215467
 1     0     -2    0     -3    -19   -14   11    0 0 0 0 0 0 -21.189079
 1     0     -2    0     -3    -19   -14   11    0 0 0 0 0 0 -21.162407
 0     -5    -3    -2    -2    -7    -2    -31   0 0 0 0 0 0 -21.135813
 0     -5    -3    -2    -2    -7    -2    -31   0 0 0 0 0 0 -21.109426
 6     -1    0     0     3     7     -12   17    0 0 0 0 0 0 -21.083057
 0     0     0     0     -3    8     -4    0     0 0 0 0 0 0 -21.056335
 2     2     0     0     1     -7    -7    0     0 0 0 0 0 0 -21.029039
 -11   -3    -1    -2    -11   -5    -27   -57   0 0 0 0 0 0 -21.001467
 -11   -3    -1    -2    -11   -5    -27   -57   0 0 0 0 0 0 -20.974407
 5     3     2     0     3     -4    -4    19    0 0 0 0 0 0 -20.948624
 -7    -2    -1    -1    -1    4     -6    -35   0 0 0 0 0 0 -20.924355
 -6    1     -1    -1    -2    -2    -16   1     0 0 0 0 0 0 -20.901451
 -6    1     -1    -1    -2    -2    -16   1     0 0 0 0 0 0 -20.879845
 18    1     -1    -2    4     15    35    87    0 0 0 0 0 0 -20.859859
 18    1     -1    -2    4     15    35    87    0 0 0 0 0 0 -20.842209
 -12   0     -1    -1    -4    -13   -14   -21   0 0 0 0 0 0 -20.827873
 -12   0     -1    -1    -4    -13   -14   -21   0 0 0 0 0 0 -20.817934
 -11   0     -1    1     0     -2    -24   -34   0 0 0 0 0 0 -20.813524
 -11   0     -1    1     0     -2    -24   -34   0 0 0 0 0 0 -20.815800
 6     0     1     -1    4     18    18    -6    0 0 0 0 0 0 -20.825901
 6     0     1     -1    4     18    18    -6    0 0 0 0 0 0 -20.844847
 6     0     1     -1    4     18    18    -6    0 0 0 0 0 0 -20.873451
 -6    -2    -2    -1    1     -9    -29   -55   0 0 0 0 0 0 -20.912266
 18    2     -1    -1    4     -4    51    85    0 0 0 0 0 0 -20.961407
 -10   -2    2     1     3     -20   -17   -28   0 0 0 0 0 0 -21.020428
 -10   -2    2     1     3     -20   -17   -28   0 0 0 0 0 0 -21.088329
 2     -1    0     2     2     -3    1     23    0 0 0 0 0 0 -21.163742
 2     -1    0     2     2     -3    1     23    0 0 0 0 0 0 -21.245285
 4     -1    -1    -1    -1    -3    5     16    0 0 0 0 0 0 -21.331865
 4     -1    -1    -1    -1    -3    5     16    0 0 0 0 0 0 -21.422798
 0     -2    -1    0     0     2     -12   -19   0 0 0 0 0 0 -21.517658
 1     3     1     1     -8    3     4     -18   0 0 0 0 0 0 -21.616007
 15    -1    -3    -1    4     10    29    71    0 0 0 0 0 0 -21.717155
 -4    1     3     0     3     -5    -9    -14   0 0 0 0 0 0 -21.820150
 -4    1     3     0     3     -5    -9    -14   0 0 0 0 0 0 -21.923937
 1     0     -1    -3    -1    8     24    17    0 0 0 0 0 0 -22.027557
 1     0     -1    -3    -1    8     24    17    0 0 0 0 0 0 -22.130413
 -6    4     4     0     4     5     -25   -54   0 0 0 0 0 0 -22.232185
 9     -4    -5    -5    -10   8     14    35    0 0 0 0 0 0 -22.332394
 -8    5     5     2     1     1     -1    -14   0 0 0 0 0 0 -22.429920
 -11   -4    -5    -4    -3    -10   -16   3     0 0 0 0 0 0 -22.522676
 -11   -4    -5    -4    -3    -10   -16   3     0 0 0 0 0 0 -22.607733
 -1    -1    2     1     0     -12   -11   3     0 0 0 0 0 0 -22.681986
 -7    -3    -3    -1    5     15    -5    -34   0 0 0 0 0 0 -22.742966
 11    3     0     0     -5    14    3     14    0 0 0 0 0 0 -22.789255
 11    3     0     0     -5    14    3     14    0 0 0 0 0 0 -22.820501
 -7    -1    -1    0     2     -7    1     -4    0 0 0 0 0 0 -22.837147
 -7    -1    -1    0     2     -7    1     -4    0 0 0 0 0 0 -22.830462
 9     3     0     0     1     4     2     12    0 0 0 0 0 0 -22.782171
 -3    -1    0     -2    3     -3    -6    -9    0 0 0 0 0 0 -22.674475
 1     -2    1     -1    -4    2     29    81    0 0 0 0 0 0 -22.493156
 3     -4    -2    -2    4     23    26    22    0 0 0 0 0 0 -22.240770
 3     -4    -2    -2    4     23    26    22    0 0 0 0 0 0 -21.936047
 5     3     2     2     3     -2    -2    23    0 0 0 0 0 0 -21.602598
 5     3     2     2     3     -2    -2    23    0 0 0 0 0 0 -21.261919
 -17   -2    -2    0     -4    -14   -33   -81   0 0 0 0 0 0 -20.930124
 12    2     1     -2    -1    -5    18    67    0 0 0 0 0 0 -20.619305
 -9    -2    -1    -1    -1    11    5     -21   0 0 0 0 0 0 -20.337599
 -9    -2    -1    -1    -1    11    5     -21   0 0 0 0 0 0 -20.091351
 1     0     -1    1     1     -8    -10   -1    0 0 0 0 0 0 -19.882879
 1     0     -1    1     1     -8    -10   -1    0 0 0 0 0 0 -19.709448
 -22   -7    -4    -2    -3    -12   -31   -58   0 0 0 0 0 0 -19.565117
 14    5     2     2     2     4     28    45    0 0 0 0 0 0 -19.443001
 12    -1    0     2     0     6     7     35    0 0 0 0 0 0 -19.337528
 -14   -2    1     -2    2     -3    -39   -56   0 0 0 0 0 0 -19.245293
 -14   -2    1     -2    2     -3    -39   -56   0 0 0 0 0 0 -19.164316
 8     -1    -1    0     0     -5    6     19    0 0 0 0 0 0 -19.093430
 8     -1    -1    0     0     -5    6     19    0 0 0 0 0 0 -19.031897
 1     -4    -1    0     4     -1    25    -13   0 0 0 0 0 0 -18.978945
 1     -4    -1    0     4     -1    25    -13   0 0 0 0 0 0 -18.933647
 1     -4    -1    0     4     -1    25    -13   0 0 0 0 0 0 -18.894915
 -6    -1    -2    -4    -4    7     15    13    0 0 0 0 0 0 -18.861511
 -4    -1    3     -2    -4    -9    -9    -3    0 0 0 0 0 0 -18.832123
 7     1     -3    2     2     5     -2    7     0 0 0 0 0 0 -18.805408
 7     1     -3    2     2     5     -2    7     0 0 0 0 0 0 -18.779919
 7     -5    -1    -2    2     -5    8     31    0 0 0 0 0 0 -18.754002
 7     -5    -1    -2    2     -5    8     31    0 0 0 0 0 0 -18.725929
 -5    -3    0     1     8     30    -1    -5    0 0 0 0 0 0 -18.694109
 -1    2     2     1     -1    -4    -31   1     0 0 0 0 0 0 -18.657482
 13    4     0     2     1     9     23    25    0 0 0 0 0 0 -18.615738
 13    4     0     2     1     9     23    25    0 0 0 0 0 0 -18.569378
 13    4     0     2     1     9     23    25    0 0 0 0 0 0 -18.519833
 -3    0     -1    1     -1    -6    -2    -1    0 0 0 0 0 0 -18.469454
 -3    0     -1    1     -1    -6    -2    -1    0 0 0 0 0 0 -18.421471
 8     -1    -1    -1    5     30    42    8     0 0 0 0 0 0 -18.379984
 8     -1    -1    -1    5     30    42    8     0 0 0 0 0 0 -18.349707
 -9    -1    -2    -4    -14   -1    6     5     0 0 0 0 0 0 -18.335615
 -9    -1    -2    -4    -14   -1    6     5     0 0 0 0 0 0 -18.342484
 -16   -3    1     -2    -2    -13   -21   -74   0 0 0 0 0 0 -18.373880
 -16   -3    1     -2    -2    -13   -21   -74   0 0 0 0 0 0 -18.430573
 4     -2    -1    2     0     24    17    17    0 0 0 0 0 0 -18.509285
 0     0     0     -1    2     -4    -3    16    0 0 0 0 0 0 -18.602884
 -4    1     0     -2    -3    -18   -7    -11   0 0 0 0 0 0 -18.702295
 -7    -2    -3    -2    -2    -10   -19   -20   0 0 0 0 0 0 -18.799034
 4     2     -1    0     6     13    -3    -2    0 0 0 0 0 0 -18.886646
 9     1     -1    -3    0     -11   -6    6     0 0 0 0 0 0 -18.960957
 9     1     -1    -3    0     -11   -6    6     0 0 0 0 0 0 -19.018805
 -11   4     2     0     -6    -18   -14   -11   0 0 0 0 0 0 -19.056887
 -11   4     2     0     -6    -18   -14   -11   0 0 0 0 0 0 -19.071331
 3     -2    2     -1    2     -2    3     22    0 0 0 0 0 0 -19.057510
 3     -2    2     -1    2     -2    3     22    0 0 0 0 0 0 -19.010365
 3     1     1     0     -10   -1    -4    2     0 0 0 0 0 0 -18.924902
 3     1     1     0     -10   -1    -4    2     0 0 0 0 0 0 -18.796642
 3     1     1     0     -10   -1    -4    2     0 0 0 0 0 0 -18.621433
 9     2     -2    1     3     2     12    4     0 0 0 0 0 0 -18.394667
 4     -4    -6    -2    -4    -7    16    27    0 0 0 0 0 0 -18.111176
 -2    -2    1     2     7     3     -4    -3    0 0 0 0 0 0 -17.765997
 -2    -2    1     2     7     3     -4    -3    0 0 0 0 0 0 -17.355366
 -7    -1    0     0     -4    -2    -8    -4    0 0 0 0 0 0 -16.878010
 -7    -1    0     0     -4    -2    -8    -4    0 0 0 0 0 0 -16.334717
 10    0     1     -2    3     2     14    35    0 0 0 0 0 0 -15.728824
 10    0     1     -2    3     2     14    35    0 0 0 0 0 0 -15.068110
 10    0     1     -2    3     2     14    35    0 0 0 0 0 0 -14.366529
 10    3     -3    0     -4    10    43    52    0 0 0 0 0 0 -13.646420
 -9    -11   -5    -3    -1    0     -14   -19   0 0 0 0 0 0 -12.936708
 -9    -11   -5    -3    -1    0     -14   -19   0 0 0 0 0 0 -12.268148
 -4    3     -6    -1    0     0     -5    -5    0 0 0 0 0 0 -11.668103
 -4    3     -6    -1    0     0     -5    -5    0 0 0 0 0 0 -11.154515
 3     -1    0     -1    0     1     1     7     0 0 0 0 0 0 -10.734889
 5     3     8     4     8     18    -4    2     0 0 0 0 0 0 -10.408002
 -7    -4    -7    -6    -3    -3    -18   -26   0 0 0 0 0 0 -10.167519
 -1    2     -3    0     0     -4    -5    -3    0 0 0 0 0 0 -10.006770
 -1    2     -3    0     0     -4    -5    -3    0 0 0 0 0 0 -9.920485
 -6    -9    -3    -3    -1    0     -12   -18   0 0 0 0 0 0 -9.905256
 -1    3     1     0     0     -3    3     2     0 0 0 0 0 0 -9.958789
 -5    0     0     0     -1    -3    -10   -13   0 0 0 0 0 0 -10.078950
 -5    0     0     0     -1    -3    -10   -13   0 0 0 0 0 0 -10.262636
 -1    3     2     1     7     -1    9     12    0 0 0 0 0 0 -10.505204
 -1    3     2     1     7     -1    9     12    0 0 0 0 0 0 -10.800134
 2     -3    -1    -2    0     6     3     -3    0 0 0 0 0 0 -11.139395
 2     -3    -1    -2    0     6     3     -3    0 0 0 0 0 0 -11.514746
 -2    5     2     -1    -1    -4    2     -9    0 0 0 0 0 0 -11.918537
 -3    -2    -3    -1    -1    -5    -5    -12   0 0 0 0 0 0 -12.344198
 -2    -1    -6    -3    -6    -4    -5    -7    0 0 0 0 0 0 -12.785969
 -2    -1    -6    -3    -6    -4    -5    -7    0 0 0 0 0 0 -13.238530
 -2    -1    -6    -3    -6    -4    -5    -7    0 0 0 0 0 0 -13.696915
 -3    -1    -3    -1    -5    -3    -14   -11   0 0 0 0 0 0 -14.156381
 -3    -4    -4    5     14    21    4     -3    0 0 0 0 0 0 -14.612040
 -1    -5    -6    -7    -2    -7    -4    -1    0 0 0 0 0 0 -15.059021
 -1    -5    -6    -7    -2    -7    -4    -1    0 0 0 0 0 0 -15.492774
 4     10    7     3     -1    3     3     12    0 0 0 0 0 0 -15.909734
 4     10    7     3     -1    3     3     12    0 0 0 0 0 0 -16.308350
 4     10    7     3     -1    3     3     12    0 0 0 0 0 0 -16.689529
 -4    -4    0     2     1     -1    1     -9    0 0 0 0 0 0 -17.056324
 -4    -4    0     2     1     -1    1     -9    0 0 0 0 0 0 -17.412457
 -9    -4    -1    -2    -4    0     -1    -9    0 0 0 0 0 0 -17.760914
 1     0     3     1     -4    -12   -3    4     0 0 0 0 0 0 -18.102791
 1     0     3     1     -4    -12   -3    4     0 0 0 0 0 0 -18.436718
 1     0     3     1     -4    -12   -3    4     0 0 0 0 0 0 -18.759001
 0     -1    2     0     1     1     1     -3    0 0 0 0 0 0 -19.064312
 0     -1    2     0     1     1     1     -3    0 0 0 0 0 0 -19.346336
 2     3     0     3     3     -4    -3    -1    0 0 0 0 0 0 -19.598553
 2     3     0     3     3     -4    -3    -1    0 0 0 0 0 0 -19.815262
 -6    1     4     -1    1     5     -1    -3    0 0 0 0 0 0 -19.992117
 -6    1     4     -1    1     5     -1    -3    0 0 0 0 0 0 -20.125883
 6     6     3     0     2     11    6     7     0 0 0 0 0 0 -20.214214
 6     6     3     0     2     11    6     7     0 0 0 0 0 0 -20.256107
 6     6     3     0     2     11    6     7     0 0 0 0 0 0 -20.252361
 0     -4    -4    -3    -11   3     -1    -1    0 0 0 0 0 0 -20.205692
 0     1     8     -1    -1    3     1     -1    0 0 0 0 0 0 -20.119789
 0     1     8     -1    -1    3     1     -1    0 0 0 0 0 0 -19.997345
 0     1     8     -1    -1    3     1     -1    0 0 0 0 0 0 -19.838514
 -1    -4    -5    -1    1     1     1     -1    0 0 0 0 0 0 -19.640980
 -1    -4    -5    -1    1     1     1     -1    0 0 0 0 0 0 -19.401390
 -2    -3    -3    -3    -2    -8    -4    -1    0 0 0 0 0 0 -19.116909
 -2    -3    -3    -3    -2    -8    -4    -1    0 0 0 0 0 0 -18.786070
 3     -7    0     0     1     -15   0     1     0 0 0 0 0 0 -18.408861
 3     -7    0     0     1     -15   0     1     0 0 0 0 0 0 -17.986710
 -1    3     -6    -4    -5    -5    -5    0     0 0 0 0 0 0 -17.522243
 -1    3     -6    -4    -5    -5    -5    0     0 0 0 0 0 0 -17.018682
 -1    3     -6    -4    -5    -5    -5    0     0 0 0 0 0 0 -16.479082
 -2    -1    0     1     3     3     -2    -2    0 0 0 0 0 0 -15.905581
 -2    -1    0     1     3     3     -2    -2    0 0 0 0 0 0 -15.299677
 -1    -2    -4    -2    -3    -6    -7    -3    0 0 0 0 0 0 -14.663244
 1     5     2     3     6     12    8     2     0 0 0 0 0 0 -13.999811
 2     12    4     2     0     -3    -3    -1    0 0 0 0 0 0 -13.315026
 2     12    4     2     0     -3    -3    -1    0 0 0 0 0 0 -12.616236
 -2    12    -4    -4    -4    -3    -1    -1    0 0 0 0 0 0 -11.911685
 -6    -7    -8    -5    -2    -3    -6    -4    0 0 0 0 0 0 -11.209225
 1     -27   -3    2     2     -2    -2    -2    0 0 0 0 0 0 -10.515703
 1     -27   -3    2     2     -2    -2    -2    0 0 0 0 0 0 -9.836973
 0     3     0     1     -2    -9    -1    1     0 0 0 0 0 0 -9.177854
 0     9     -6    -3    -2    10    1     1     0 0 0 0 0 0 -8.541985
 0     9     -6    -3    -2    10    1     1     0 0 0 0 0 0 -7.931589
 -2    -4    -6    -4    -5    -6    -3    -2    0 0 0 0 0 0 -7.347462
 -3    -5    -10   -6    -6    -4    -2    -2    0 0 0 0 0 0 -6.789328
 4     59    14    -2    3     8     7     6     0 0 0 0 0 0 -6.256777
 4     59    14    -2    3     8     7     6     0 0 0 0 0 0 -5.749369
 0     2     14    6     -1    -5    -7    -5    0 0 0 0 0 0 -5.265579
 0     2     14    6     -1    -5    -7    -5    0 0 0 0 0 0 -4.802628
 -4    -12   -10   -5    -6    2     -3    -2    0 0 0 0 0 0 -4.356934
 -1    4     -5    -5    -6    -3    -3    -1    0 0 0 0 0 0 -3.924965
 0     -14   2     2     1     -1    0     1     0 0 0 0 0 0 -3.504465
 0     -14   2     2     1     -1    0     1     0 0 0 0 0 0 -3.094805
 -2    -7    -1    0     3     4     3     1     0 0 0 0 0 0 -2.696556
 -2    -7    -1    0     3     4     3     1     0 0 0 0 0 0 -2.311224
 -2    -7    -1    0     3     4     3     1     0 0 0 0 0 0 -1.941029
 -1    -17   -4    4     1     9     1     -1    0 0 0 0 0 0 -1.588379
 -5    -10   -20   -8    -4    -12   -9    -4    0 0 0 0 0 0 -1.254963
 -5    -10   -20   -8    -4    -12   -9    -4    0 0 0 0 0 0 -0.940491
 -5    -10   -20   -8    -4    -12   -9    -4    0 0 0 0 0 0 -0.641918
 -1    -14   -2    4     2     5     1     -2    0 0 0 0 0 0 -0.353485
 -1    -14   -2    4     2     5     1     -2    0 0 0 0 0 0 -0.068602
 3     25    8     7     6     2     5     3     0 0 0 0 0 0 0.101941
 3     25    8     7     6     2     5     3     0 0 0 0 0 0 0.238319
 -1    -13   8     2     0     -3    -1    -2    0 0 0 0 0 0 0.377603
 -1    -13   8     2     0     -3    -1    -2    0 0 0 0 0 0 0.519864
 -1    -4    -1    -4    -3    -8    -5    -2    0 0 0 0 0 0 0.664891
 -1    -4    -1    -4    -3    -8    -5    -2    0 0 0 0 0 0 0.812125
 -1    -4    -1    -4    -3    -8    -5    -2    0 0 0 0 0 0 0.960368
 -1    10    -5    -9    -6    1     0     -1    0 0 0 0 0 0 1.107851
 0     -11   -8    -6    0     2     2     2     0 0 0 0 0 0 1.252691
 0     -11   -8    -6    0     2     2     2     0 0 0 0 0 0 1.393351
 0     -11   -8    -6    0     2     2     2     0 0 0 0 0 0 1.528834
 1     12    23    5     3     1     1     0     0 0 0 0 0 0 1.658667
 1     12    23    5     3     1     1     0     0 0 0 0 0 0 1.782616
 -2    -7    -11   0     -4    -4    -3    -3    0 0 0 0 0 0 1.900375
 -2    -7    -11   0     -4    -4    -3    -3    0 0 0 0 0 0 2.011364
 -1    3     4     -1    -2    0     0     -1    0 0 0 0 0 0 2.114633
 -1    3     4     -1    -2    0     0     -1    0 0 0 0 0 0 2.208931
 -1    -1    -10   -15   -4    0     -1    0     0 0 0 0 0 0 2.292764
 -1    -1    -10   -15   -4    0     -1    0     0 0 0 0 0 0 2.364486
 -1    -1    -10   -15   -4    0     -1    0     0 0 0 0 0 0 2.422382
 -4    -10   0     1     -1    -3    -3    -2    0 0 0 0 0 0 2.464767
 0     -26   -12   1     2     1     2     0     0 0 0 0 0 0 2.490419
 0     -26   -12   1     2     1     2     0     0 0 0 0 0 0 2.499046
 0     -26   -12   1     2     1     2     0     0 0 0 0 0 0 2.491546
 -2    6     5     0     -3    -6    -3    -1    0 0 0 0 0 0 2.469691
 -2    6     5     0     -3    -6    -3    -1    0 0 0 0 0 0 2.435504
 -2    -13   -7    -12   -11   -2    -2    -1    0 0 0 0 0 0 2.390669
 -2    -13   -7    -12   -11   -2    -2    -1    0 0 0 0 0 0 2.336390
 1     -6    0     -5    -4    1     3     2     0 0 0 0 0 0 2.273720
 1     -6    0     -5    -4    1     3     2     0 0 0 0 0 0 2.203829
 2     31    14    19    9     0     -1    1     0 0 0 0 0 0 2.128239
 2     31    14    19    9     0     -1    1     0 0 0 0 0 0 2.048903
 2     31    14    19    9     0     -1    1     0 0 0 0 0 0 1.968153
 -2    24    -1    -5    -6    2     0     -1    0 0 0 0 0 0 1.888443
 -2    24    -1    -5    -6    2     0     -1    0 0 0 0 0 0 1.812259
 4     34    29    6     4     -2    -2    0     0 0 0 0 0 0 1.741799
 4     34    29    6     4     -2    -2    0     0 0 0 0 0 0 1.678685
 0     -10   -9    -4    1     -2    0     1     0 0 0 0 0 0 1.623803
 0     -10   -9    -4    1     -2    0     1     0 0 0 0 0 0 1.576877
 -1    -8    -3    2     1     1     1     -1    0 0 0 0 0 0 1.536659
 -1    -8    -3    2     1     1     1     -1    0 0 0 0 0 0 1.501554
 -1    -51   -32   8     5     1     0     -2    0 0 0 0 0 0 1.470178
 -1    -51   -32   8     5     1     0     -2    0 0 0 0 0 0 1.442155
 0     6     -7    -4    -1    0     -1    0     0 0 0 0 0 0 1.418128
 0     6     -7    -4    -1    0     -1    0     0 0 0 0 0 0 1.398735
 -2    22    11    7     2     3     -1    -2    0 0 0 0 0 0 1.384151
 1     -5    -17   1     1     5     6     3     0 0 0 0 0 0 1.374063
 1     -5    -17   1     1     5     6     3     0 0 0 0 0 0 1.367527
 -1    -3    4     -10   -4    0     -2    -1    0 0 0 0 0 0 1.363391
 -1    -3    4     -10   -4    0     -2    -1    0 0 0 0 0 0 1.360522
 -1    4     15    3     1     -2    -2    -1    0 0 0 0 0 0 1.357532
 -1    4     15    3     1     -2    -2    -1    0 0 0 0 0 0 1.352785
 -5    -32   0     -2    -5    -4    -3    -3    0 0 0 0 0 0 1.344754
 -6    9     6     -7    -4    -3    -3    -3    0 0 0 0 0 0 1.332636
 1     23    6     -3    2     0     1     -1    0 0 0 0 0 0 1.316696
 1     23    6     -3    2     0     1     -1    0 0 0 0 0 0 1.298412
 1     1     -4    13    3     3     1     -1    0 0 0 0 0 0 1.280015
 1     1     -4    13    3     3     1     -1    0 0 0 0 0 0 1.263438
 1     1     -4    13    3     3     1     -1    0 0 0 0 0 0 1.249469
 0     -20   -9    -2    -2    -3    -2    1     0 0 0 0 0 0 1.237667
 10    60    14    10    7     2     -1    1     0 0 0 0 0 0 1.227296
 -2    -19   -11   -5    -8    -2    -2    -2    0 0 0 0 0 0 1.218621
 -2    -19   -11   -5    -8    -2    -2    -2    0 0 0 0 0 0 1.213275
 0     13    7     18    8     2     1     1     0 0 0 0 0 0 1.213498
 0     13    7     18    8     2     1     1     0 0 0 0 0 0 1.221181
 4     6     6     -1    -2    1     3     2     0 0 0 0 0 0 1.236912
 4     6     6     -1    -2    1     3     2     0 0 0 0 0 0 1.259971
 -1    15    13    4     3     -2    -1    0     0 0 0 0 0 0 1.289005
 -1    15    13    4     3     -2    -1    0     0 0 0 0 0 0 1.322403
 -4    -35   -18   -3    -1    0     -2    -2    0 0 0 0 0 0 1.358616
 -4    -35   -18   -3    -1    0     -2    -2    0 0 0 0 0 0 1.396563
 -4    -35   -18   -3    -1    0     -2    -2    0 0 0 0 0 0 1.436136
 -2    3     -11   -5    -3    -4    -5    -3    0 0 0 0 0 0 1.478055
 -2    3     -11   -5    -3    -4    -5    -3    0 0 0 0 0 0 1.523084
 1     7     9     -2    1     3     3     1     0 0 0 0 0 0 1.571189
 1     7     9     -2    1     3     3     1     0 0 0 0 0 0 1.621165
 0     -28   -11   -1    -6    -2    1     2     0 0 0 0 0 0 1.671027
 0     -28   -11   -1    -6    -2    1     2     0 0 0 0 0 0 1.719123
 -2    36    1     -11   -3    -2    -2    0     0 0 0 0 0 0 1.765205
 -2    36    1     -11   -3    -2    -2    0     0 0 0 0 0 0 1.810705
 -2    36    1     -11   -3    -2    -2    0     0 0 0 0 0 0 1.858565
 2     4     10    -1    3     1     2     2     0 0 0 0 0 0 1.912429
 1     6     -9    2     4     1     -1    -1    0 0 0 0 0 0 1.975165
 1     6     -9    2     4     1     -1    -1    0 0 0 0 0 0 2.047744
 1     6     -9    2     4     1     -1    -1    0 0 0 0 0 0 2.128928
 -2    3     3     -1    -6    -5    -6    -5    0 0 0 0 0 0 2.215762
 -2    3     3     -1    -6    -5    -6    -5    0 0 0 0 0 0 2.304822
 -5    -3    4     -6    -6    -7    -6    -5    0 0 0 0 0 0 2.393275
 -5    -3    4     -6    -6    -7    -6    -5    0 0 0 0 0 0 2.479343
 -1    -5    3     5     4     2     3     0     0 0 0 0 0 0 2.562050
