EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 0     0     -1    -2    -2    0     -1    1    0.12  -29.142277
 -1    -3    -2    0     -1    -1    -1    0    0.17  -29.047537
 0     -1    0     -2    -2    0     1     0    0.09  -28.932732
 0     -1    0     -2    -2    0     1     0    0.08  -28.796785
 0     1     -2    0     0     -1    -2    -1   0.17  -28.638433
 0     0     -3    -2    0     -1    -1    0    0.07  -28.456074
 -2    -1    2     0     -2    0     -1    -1   0.01  -28.247656
 -3    -1    -1    -3    -1    0     -1    1    0.27  -28.010849
 -3    -1    -1    -3    -1    0     -1    1    0.28  -27.743132
 -3    -2    0     1     0     -1    1     0    0.18  -27.441797
 -1    -3    -2    -1    0     0     -1    -1   0.31  -27.103857
 0     0     -2    0     0     -1    -3    -3   0.06  -26.725969
 0     0     0     0     0     -2    -1    1    -0.07  -26.304562
 0     0     0     0     0     -2    -1    1    0.04  -25.835970
 0     0     0     1     -2    -3    0     0    -0.00  -25.316507
 0     1     1     -1    0     0     2     -1   -0.04  -24.742146
 0     -2    -2    -1    -2    -1    -2    -1   0.08  -24.108820
 -1    -2    -1    -1    -1    -1    2     0    0.19  -23.412611
 -1    -2    -1    -1    -1    -1    2     0    0.23  -22.650217
 -1    0     -1    -1    -1    1     1     1    0.03  -21.819113
 -2    -2    -2    0     0     -2    0     -1   -0.13  -20.917757
 -1    -2    0     1     -1    0     -1    -3   -0.01  -19.946016
 1     -1    -1    -2    -2    -2    -1    0    0.01  -18.905767
 0     -2    -2    -1    -2    -1    0     0    0.07  -17.801008
 -1    -1    -1    -1    0     -1    -1    -1   0.09  -16.638109
 -1    -1    0     0     1     1     -1    -1   -0.05  -15.425833
 -2    1     0     -1    0     0     0     0    -0.04  -14.175762
 -2    1     0     -1    0     0     0     0    0.01  -12.901970
 0     0     -1    0     0     -1    1     0    0.18  -11.620180
 -2    -2    0     0     -1    -1    0     1    0.32  -10.347132
 1     0     0     -2    0     -2    -1    -2   0.12  -9.100288
 -3    -2    -1    0     0     2     -1    -2   0.10  -7.897117
 -3    -2    -1    0     0     2     -1    -2   0.03  -6.753759
 -1    -1    0     0     -3    -2    -1    -1   0.07  -5.684023
 -1    -1    0     0     -3    -2    -1    -1   0.14  -4.698245
 -2    -2    0     0     0     -1    -1    -2   0.05  -3.803000
 0     -1    -1    1     -1    -1    -2    -1   0.10  -3.001176
 -2    -1    0     0     -2    -1    0     -1   0.13  -2.292324
 1     0     -1    1     -1    0     -1    0    -0.03  -1.673027
 1     0     -1    1     -1    0     -1    0    0.06  -1.137561
 0     -2    -2    1     -1    0     0     0    -0.03  -0.678608
 0     -2    -2    1     -1    0     0     0    -0.05  -0.288187
 -1    -1    -1    -1    -1    -1    -1    -1   0.09  0.041729
 -1    -1    -1    -1    -2    -2    -2    0    0.40  0.318664
 -1    -1    -1    -1    -2    -2    -2    0    0.16  0.549330
 -1    0     -1    0     -1    0     0     -1   0.04  0.739646
 -1    0     -1    1     1     -1    1     0    0.23  0.894986
 -1    -1    0     -1    -1    -3    -2    -1   0.19  1.020048
 1     0     -2    -1    -1    -1    0     1    0.13  1.118819
 0     0     -1    -3    -1    0     -1    -1   -0.00  1.194629
 -1    -2    -1    0     -2    1     0     0    0.03  1.250239
 -1    -2    -1    0     -2    1     0     0    0.10  1.288134
 -2    0     0     0     -2    0     -1    -1   0.10  1.310315
 -1    -1    0     0     -1    -2    -1    -2   0.29  1.318340
 0     0     -4    0     -1    -1    -1    1    0.16  1.313264
 0     -6    1     0     0     0     2     1    0.05  1.295796
 0     -6    1     0     0     0     2     1    -0.09  1.266411
 -1    5     -7    -1    -1    -1    -2    -3   -0.08  1.225380
 -2    13    -2    5     1     1     2     1    -0.10  1.172782
 -2    -23   -12   -1    -1    -4    -2    0    -0.02  1.108758
 -6    -8    -49   -8    -15   -8    -6    -6   0.16  1.033705
 -6    -8    -49   -8    -15   -8    -6    -6   0.07  0.948590
 -2    20    26    -1    0     -3    -4    -1   0.06  0.854750
 -2    4     -10   -4    -1    0     -1    0    0.16  0.753289
 -1    -1    6     6     0     -2    0     -1   0.12  0.645939
 1     -11   12    25    15    6     2     0    0.26  0.535606
 1     -11   12    25    15    6     2     0    0.10  0.426312
 -7    6     6     -15   -16   -9    -7    -8   0.09  0.322430
 3     12    3     9     4     2     0     1    0.12  0.227668
 2     1     2     -5    4     1     -1    1    0.06  0.145560
 2     1     2     -5    4     1     -1    1    -0.01  0.078946
 2     2     12    0     6     4     1     1    0.04  0.031466
 2     2     12    0     6     4     1     1    -0.01  0.006310
