EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 2     0     -2    -2    -3    -8    -7    -2   -13.42  -2.089339
 2     0     -2    -2    -3    -8    -7    -2   -13.25  -2.008542
 -3    -4    -2    -3    0     1     -1    -3   -13.20  -1.931016
 8     1     1     3     0     1     2     1    -13.14  -1.855365
 8     1     1     3     0     1     2     1    -13.13  -1.781709
 4     0     -2    -2    -2    2     3     3    -13.27  -1.711210
 4     0     -2    -2    -2    2     3     3    -13.42  -1.644526
 -25   1     -1    -2    -2    0     -3    -6   -13.34  -1.582706
 -1    -5    -1    0     -2    0     -4    -2   -13.47  -1.528728
 -1    -5    -1    0     -2    0     -4    -2   -13.51  -1.484867
 1     0     -2    0     0     -1    -1    -3   -13.46  -1.452334
 1     0     -2    0     0     -1    -1    -3   -13.61  -1.427618
 -1    -1    0     -2    0     0     -1    -6   -13.55  -1.407868
 -1    1     -1    -3    -2    2     -2    0    -13.44  -1.391773
 -27   3     0     0     0     -1    0     4    -13.32  -1.379954
 7     -4    0     -1    -3    0     -2    -1   -13.28  -1.375814
 7     -4    0     -1    -3    0     -2    -1   -13.32  -1.382422
 5     1     -2    -1    0     -1    0     0    -13.38  -1.402651
 5     -2    0     0     0     -1    -2    0    -13.47  -1.434184
 4     -1    0     -1    -1    -2    -3    -4   -13.46  -1.474630
 -5    0     -1    -1    -1    -5    -2    0    -13.47  -1.522318
 9     -1    0     0     0     -2    2     3    -13.53  -1.576009
 4     0     -1    -2    -2    1     3     -1   -13.60  -1.634989
 4     0     -1    -2    -2    1     3     -1   -13.42  -1.697911
 3     -2    -1    -1    -1    -1    0     -2   -13.30  -1.763109
 5     -2    -1    -2    0     -1    0     -1   -13.22  -1.828002
 4     1     -2    -2    -1    -1    -2    2    -13.14  -1.890390
 6     -2    -1    0     -1    -3    -2    2    -13.17  -1.948340
 0     1     -1    0     -1    -6    -1    -3   -13.19  -2.000485
 -3    -1    0     -2    -2    -1    -2    -2   -13.19  -2.046065
 -3    -1    0     -2    -2    -1    -2    -2   -13.27  -2.085230
 -4    0     -1    -1    -1    1     5     0    -13.16  -2.118032
 -4    0     -1    -1    -1    1     5     0    -13.02  -2.144336
 3     -1    -2    -1    -3    -1    -3    4    -13.07  -2.163361
 -1    0     0     -1    -1    -1    1     4    -13.07  -2.174461
 0     -1    -1    0     1     -5    -2    -5   -12.99  -2.177881
 10    -2    0     1     -1    3     1     -1   -13.08  -2.174994
 10    -2    0     1     -1    3     1     -1   -13.16  -2.167955
 3     0     -1    -1    -1    0     -4    3    -13.09  -2.159323
 -3    -1    -1    0     -3    -3    -1    -7   -13.11  -2.151075
 -9    -4    -3    -2    0     -1    0     -2   -13.00  -2.143874
 -7    -2    0     -2    0     7     1     -4   -12.98  -2.137513
 -7    -2    0     -2    0     7     1     -4   -12.94  -2.133044
 -8    -2    -2    -2    -1    -1    -1    -2   -13.05  -2.132277
 -4    0     -2    -2    -2    -4    -7    -2   -13.10  -2.135668
 6     -1    -1    1     -1    1     2     0    -13.08  -2.141850
 0     -1    0     -1    0     -3    -4    1    -13.05  -2.149080
 0     -1    0     -1    0     -3    -4    1    -13.07  -2.155813
 8     0     0     1     -1    -4    0     -2   -13.10  -2.161306
 -1    -3    -3    0     -1    -3    -3    -3   -12.88  -2.164894
 -6    -1    -2    -2    -1    0     -2    1    -12.96  -2.165128
 -11   -2    -1    0     -1    1     3     3    -13.08  -2.161103
 -11   -2    -1    0     -1    1     3     3    -12.97  -2.153267
 3     1     0     -1    -1    -2    -3    -5   -12.94  -2.144108
 -7    0     -1    0     0     -1    1     -3   -13.11  -2.136566
 2     -3    -1    1     -1    -6    -4    0    -13.15  -2.132068
 4     -2    -1    -2    -1    -1    0     -2   -13.19  -2.129821
 9     1     -1    0     0     1     -3    -1   -13.18  -2.128845
 8     1     -1    -2    -2    1     1     4    -13.19  -2.128390
 -6    1     0     -2    0     -1    -2    -1   -13.13  -2.129180
 -6    -2    0     -2    -1    0     -2    -1   -13.03  -2.132505
 -6    -2    0     -2    -1    0     -2    -1   -13.04  -2.139484
 2     -2    -1    -1    0     -1    -1    -1   -13.02  -2.150056
 2     -2    -1    -1    0     -1    -1    -1   -13.12  -2.162971
 0     -1    0     0     0     0     0     0    -13.11  -2.176060
 -34   -1    -1    -1    -2    1     0     -1   -13.04  -2.188394
 -34   -1    -1    -1    -2    1     0     -1   -12.96  -2.203537
 11    -1    -1    -2    -1    0     0     0    -12.86  -2.227229
 11    -1    -1    -2    -1    0     0     0    -12.89  -2.265273
 0     -1    -2    0     -1    -3    -2    -1   -12.85  -2.318131
 0     -3    -3    -3    -1    0     2     -2   -12.90  -2.380532
 2     0     -2    -1    -3    -1    0     0    -13.00  -2.445754
 3     1     -1    -1    -1    -1    -1    1    -13.02  -2.507028
 3     1     -1    -1    -1    -1    -1    1    -12.84  -2.560210
 0     -2    -1    0     -2    -2    -2    -3   -12.83  -2.602998
 0     -2    -1    0     -2    -2    -2    -3   -12.85  -2.634010
 2     -4    0     -1    -2    -1    -1    0    -12.80  -2.652388
 -6    -5    -1    0     -1    -1    -2    0    -12.70  -2.657857
 -6    -5    -1    0     -1    -1    -2    0    -12.70  -2.650867
 -4    1     -1    0     0     -1    -2    -3   -12.56  -2.632081
 -4    1     -1    0     0     -1    -2    -3   -12.57  -2.602885
 0     -1    0     0     -1    -2    -1    -3   -12.61  -2.564888
 1     0     -1    -1    -1    -1    2     -2   -12.48  -2.519644
 1     0     -1    -1    -1    -1    2     -2   -12.30  -2.468062
 6     2     -2    -3    -2    -2    0     1    -12.34  -2.410082
