EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ 
 -1    13    0     -2    1     -2    -1    0    -0.006460 2.635512 1.313738 
 -1    13    0     -2    1     -2    -1    0    -0.006526 2.627476 1.309672 
 -1    13    0     -2    1     -2    -1    0    -0.006554 2.619343 1.305580 
 -1    13    0     -2    1     -2    -1    0    -0.006548 2.611161 1.301487 
 -1    13    0     -2    1     -2    -1    0    -0.006508 2.602974 1.297412 
 -1    13    0     -2    1     -2    -1    0    -0.006439 2.594824 1.293374 
 -1    13    0     -2    1     -2    -1    0    -0.006342 2.586749 1.289392 
 -1    13    0     -2    1     -2    -1    0    -0.006220 2.578784 1.285481 
 -1    13    0     -2    1     -2    -1    0    -0.006076 2.570963 1.281657 
 -1    13    0     -2    1     -2    -1    0    -0.005911 2.563314 1.277932 
 -1    13    0     -2    1     -2    -1    0    -0.005728 2.555863 1.274318 
 -1    13    0     -2    1     -2    -1    0    -0.005528 2.548635 1.270825 
 -1    13    0     -2    1     -2    -1    0    -0.005315 2.541650 1.267463 
 -1    13    0     -2    1     -2    -1    0    -0.005091 2.534925 1.264239 
 -1    13    0     -2    1     -2    -1    0    -0.004856 2.528478 1.261160 
 -1    13    0     -2    1     -2    -1    0    -0.004613 2.522320 1.258231 
 -1    13    0     -2    1     -2    -1    0    -0.004364 2.516462 1.255457 
 -1    13    0     -2    1     -2    -1    0    -0.004110 2.510914 1.252840 
 -1    13    0     -2    1     -2    -1    0    -0.003854 2.505681 1.250384 
 -1    13    0     -2    1     -2    -1    0    -0.003595 2.500767 1.248088 
 -1    13    0     -2    1     -2    -1    0    -0.003337 2.496176 1.245954 
 -1    13    0     -2    1     -2    -1    0    -0.003080 2.491908 1.243981 
 -1    13    0     -2    1     -2    -1    0    -0.002824 2.487962 1.242168 
 -1    13    0     -2    1     -2    -1    0    -0.002573 2.484336 1.240513 
 -1    13    0     -2    1     -2    -1    0    -0.002326 2.481025 1.239013 
 -1    13    0     -2    1     -2    -1    0    -0.002084 2.478025 1.237665 
 -1    13    0     -2    1     -2    -1    0    -0.001848 2.475330 1.236466 
 -1    13    0     -2    1     -2    -1    0    -0.001619 2.472932 1.235411 
 -1    13    0     -2    1     -2    -1    0    -0.001398 2.470822 1.234496 
 -1    13    0     -2    1     -2    -1    0    -0.001185 2.468992 1.233715 
 -1    13    0     -2    1     -2    -1    0    -0.000980 2.467431 1.233065 
 -1    13    0     -2    1     -2    -1    0    -0.000784 2.466129 1.232538 
 -1    13    0     -2    1     -2    -1    0    -0.000598 2.465075 1.232129 
 -1    13    0     -2    1     -2    -1    0    -0.000421 2.464258 1.231833 
 -1    13    0     -2    1     -2    -1    0    -0.000255 2.463665 1.231642 
 -1    13    0     -2    1     -2    -1    0    -0.000098 2.463284 1.231552 
 -1    13    0     -2    1     -2    -1    0    0.000049 2.463103 1.231555 
 -1    13    0     -2    1     -2    -1    0    0.000186 2.463109 1.231645 
 -1    13    0     -2    1     -2    -1    0    0.000312 2.463290 1.231817 
 -1    13    0     -2    1     -2    -1    0    0.000429 2.463633 1.232063 
 -1    13    0     -2    1     -2    -1    0    0.000536 2.464125 1.232377 
 -1    13    0     -2    1     -2    -1    0    0.000633 2.464755 1.232755 
