EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 35    -9    0     -2    -2    4     -3    -15  -26.93  -13.176039
 16    1     -3    -2    -4    1     21    7    -27.31  -13.492472
 9     4     -1    -2    -2    -4    22    -7   -27.88  -13.804108
 18    -8    -4    -3    -1    4     1     1    -28.51  -14.115353
 18    -8    -4    -3    -1    4     1     1    -29.14  -14.427526
 4     8     -2    0     1     15    20    22   -29.66  -14.739206
 -20   0     1     1     -2    -7    -7    -6   -30.13  -15.049282
 6     -9    -1    2     4     18    5     12   -30.65  -15.358667
 13    4     1     -2    -1    -3    1     -8   -31.16  -15.669548
 -56   -4    -1    5     4     7     18    -9   -31.55  -15.980005
 -45   11    0     -2    0     1     -8    5    -31.97  -16.289707
 5     -6    -4    -6    -4    -11   8     10   -32.54  -16.598137
 -5    0     1     1     3     7     -2    18   -32.90  -16.905710
 90    9     4     1     3     -1    26    44   -33.17  -17.212814
 -10   1     -2    -2    -4    -19   -15   -9   -33.60  -17.523905
 21    -20   -5    -5    -4    -10   -47   -44  -34.23  -17.845448
 21    -20   -5    -5    -4    -10   -47   -44  -34.87  -18.190176
 -46   1     1     1     -2    -14   -4    8    -35.18  -18.566914
 -46   1     1     1     -2    -14   -4    8    -35.43  -18.979799
 -47   -11   -3    -1    1     6     -24   -67  -36.04  -19.424599
 71    15    6     6     5     5     -2    40   -36.70  -19.893137
 -16   -4    -5    -9    -6    1     33    9    -37.20  -20.379242
 60    21    6     9     0     -11   -1    41   -37.61  -20.878868
 60    21    6     9     0     -11   -1    41   -38.11  -21.382998
 -63   -20   -2    -1    2     6     -23   -51  -38.57  -21.884447
 -1    8     -4    -2    -4    -10   38    22   -39.00  -22.377958
 -37   -2    0     -2    -2    -21   13    -12  -39.47  -22.860655
 73    9     -3    -5    -3    7     11    14   -39.88  -23.329870
 73    9     -3    -5    -3    7     11    14   -40.48  -23.781143
 5     -6    -3    -6    -5    4     -10   -7   -40.91  -24.208845
 -85   3     2     4     1     4     6     18   -41.17  -24.609137
