EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -1    -1    -1    -2    -1    0     0     -1   -0.53  -1.176986
 -2    -2    0     -1    1     0     1     -2   -0.51  -1.176635
 -1    0     -2    -1    -1    -2    1     0    -0.46  -1.175466
 -1    -1    -2    -3    -2    -1    0     -1   -0.44  -1.173195
 -1    0     -1    -2    -1    -1    0     1    -0.33  -1.169922
 -3    -1    -2    -1    -1    -1    0     -1   -0.44  -1.165642
 -3    -1    -1    -3    -1    0     -2    -1   -0.43  -1.159819
 0     0     1     0     -1    0     0     -3   -0.42  -1.151605
 0     0     1     0     -1    0     0     -3   -0.46  -1.141065
 -1    0     0     -1    -1    -1    -2    -1   -0.47  -1.129081
 -1    0     -1    -1    0     -1    -3    1    -0.48  -1.116386
 0     -2    -2    -1    0     -1    1     0    -0.57  -1.103203
 0     -2    -1    1     -1    -2    -1    -1   -0.51  -1.089814
 0     -2    -1    1     -1    -2    -1    -1   -0.44  -1.076753
 -2    -1    -1    -1    -1    0     -1    -1   -0.43  -1.064530
 -1    1     -2    -3    0     0     0     0    -0.62  -1.053207
 -1    0     0     -1    -2    -2    0     -1   -0.60  -1.042460
 0     -1    0     -1    1     -1    -1    -2   -0.55  -1.032354
 -2    -1    -1    -1    -1    -1    0     -1   -0.47  -1.023120
 -2    -3    -1    -1    -3    -1    0     -2   -0.42  -1.014977
 0     -1    -1    -1    -1    0     0     -1   -0.64  -1.007853
 -1    0     0     -1    -2    -2    -3    -1   -0.72  -1.002027
 -1    0     0     -1    -2    -2    -3    -1   -0.63  -0.998182
 -1    -1    -1    1     -1    0     0     0    -0.62  -0.996484
 -1    -1    1     -1    -2    0     -2    -1   -0.54  -0.997002
 -1    -1    1     -1    -2    0     -2    -1   -0.46  -0.999756
 -2    0     -1    -1    -2    -3    0     -1   -0.62  -1.004595
 -1    -1    -2    -1    0     -1    -1    -1   -0.54  -1.011232
 -1    -2    -1    0     0     0     0     0    -0.31  -1.019032
 0     -2    -1    -1    -1    -1    -1    0    -0.41  -1.027411
 -2    -2    -2    -2    0     -1    -1    -2   -0.64  -1.035833
 -2    -2    -2    -2    0     -1    -1    -2   -0.61  -1.043562
 0     -2    0     0     -1    -1    -1    -1   -0.48  -1.049763
 0     -2    0     0     -1    -1    -1    -1   -0.42  -1.054183
 0     0     -2    -1    -2    0     0     0    -0.45  -1.057463
 -1    -2    -2    0     0     -1    0     -1   -0.45  -1.060481
 -1    -2    -2    0     0     -1    0     -1   -0.54  -1.063482
 -1    0     -1    -2    0     -1    -1    0    -0.45  -1.066175
 -1    -2    0     -1    0     -2    -1    -1   -0.48  -1.067873
 -1    -1    2     1     -1    0     -2    -1   -0.29  -1.068113
 -1    -1    0     -1    -2    0     0     -2   -0.53  -1.066783
 -1    -1    -3    -3    -2    1     1     0    -0.56  -1.064201
 -1    -1    -3    -3    -2    1     1     0    -0.48  -1.061032
 -4    -1    -1    1     1     -1    -2    -1   -0.33  -1.057656
 0     -2    0     -3    -2    -1    -2    -1   -0.32  -1.053779
 0     -2    0     -3    -2    -1    -2    -1   -0.33  -1.049470
 -1    -1    -1    -1    0     0     -1    -2   -0.46  -1.045447
 0     -1    -1    -2    1     0     0     1    -0.54  -1.042357
 0     1     0     -2    0     -2    -2    -1   -0.64  -1.040461
 -1    -1    -1    0     0     0     -1    1    -0.50  -1.039682
 -2    0     0     -1    -3    -1    1     -3   -0.53  -1.039832
 -2    0     0     -1    -3    -1    1     -3   -0.67  -1.040518
 0     2     -1    1     -1    -1    -3    0    -0.74  -1.041659
 -1    -4    -3    -2    -3    -3    -1    -2   -0.67  -1.043866
 -2    -1    -1    -1    0     -1    -1    0    -0.82  -1.047617
 0     0     -2    0     -1    -2    -3    -1   -0.72  -1.052603
 0     -2    -1    -3    0     -3    -3    -1   -0.95  -1.058639
